TripCode,Route,Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,Amphipod,Appendicularian,Ascidian,Brachiopod,Bryozoan,Cephalopod,Chaetognath,Ciliophora,Cirripedia,Cladoceran,Cnidarian,Copepod,Ctenophore,Decapod,Echinoderm,Egg,Euphausiid,Fish,Foraminifera,Isopod,Mollusc,Mysida,Nematode,Noctilucaceae,Ostracod,Platyhelminthes,Polychaete,Radiozoa,Sipunculid,Thaliacean,Thecostraca,Urochordata
HOSO20200827,HOSO,-44.00297,147.04232,2020-08-27T11:03:03Z,2020,8,27,11:03:03,0,34.6666,0,0,0,0,0,0,0,0,0,23.3336,0,0,0,0,0.6667,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGL20200817,CAGL,-21.33224,150.23413,2020-08-18T16:24:52Z,2020,8,18,16:24:52,0,5.3333,0,0,0,0,4,0,0,0,0.6667,13.3334,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGL20200817,CAGL,-20.06689,149.07817,2020-08-18T08:04:15Z,2020,8,18,08:04:15,0,10.6667,0,0,0,0,14,0,0,0,0,20.667,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CAGL20200817,CAGL,-19.59257,148.14494,2020-08-18T03:03:53Z,2020,8,18,03:03:53,0,14.6667,0,0,0,0,2.6667,0,0,0,0,10,0,0,0,0,0,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0
CAGL20200817,CAGL,-19.44859,147.82859,2020-08-18T01:23:45Z,2020,8,18,01:23:45,0,9.3333,0,0,0,0,0,0,0.6667,0,0,16.6668,0,0,0,0,0.6667,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
CAGL20200817,CAGL,-19.01238,147.29442,2020-08-17T22:03:30Z,2020,8,17,22:03:30,0.6667,35.3333,0,0,0,0,17.3333,1.3333,0.6667,0,0.6667,148.0004,0,20.6667,0,1.3333,0,0,0,0,4.6666,0,0,0,6.6667,0,0,0,0,2.6667,0.6667,0
CAGL20200817,CAGL,-17.40735,146.17541,2020-08-17T12:02:46Z,2020,8,17,12:02:46,0,2,0,0,0.6667,0,4.6667,0,0,0,0,5.3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGL20200817,CAGL,-17.0849,146.08214,2020-08-17T10:22:38Z,2020,8,17,10:22:38,0,2,0,0,0,0,0.6667,0,0,0,0,7.3333,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEAB20200805,MEAB,-38.79276,138.544,2020-08-05T20:58:25Z,2020,8,5,20:58:25,0,0.6667,0,0,0,0,0,0,0,0,0,8.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEAB20200805,MEAB,-38.8716,140.24736,2020-08-05T16:41:44Z,2020,8,5,16:41:44,0,2.6667,0,0,0,0,3.3333,0,0,0,0.6667,11.3335,0,0,0,0.6667,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
