TripCode,SampleDepth_m,Station,Longitude,Latitude,SampleDateLocal,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,Secchi_m,IMOSsampleCode,Silicate_umolL,Phosphate_umolL,Ammonium_umolL,Nitrate_umolL,Nitrite_umolL,Oxygen_umolL,DIC_umolkg,TAlkalinity_umolkg,Salinity_PSU,Prochlorococcus_cellsml,Synecochoccus_cellsml,Picoeukaryotes_cellsml,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,TSS_mgL,InorganicFraction_mgL,OrganicFraction_mgL,CTDDensity_kgm3,CTDTemperature,CTDConductivity_sm,CTDSalinity,CTDChlF_mgm3,CTDTurbidity_ntu
DAR20110627,0,Darwin,130.76805,-12.4,2011-06-27T13:48:00Z,2011,6,27,13:48:00,2011-06-27T04:18:00Z,5.56585,8,NRSDAR20110627_000,5.8,0.39,0.32,0.2,,,1922.49,2198.3,32.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR20110627,10,Darwin,130.76805,-12.4,2011-06-27T13:48:00Z,2011,6,27,13:48:00,2011-06-27T04:18:00Z,5.56585,8,NRSDAR20110627_010,6,0.32,0.02,0.1,,,1931.9,2201.75,32.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR20110627,14,Darwin,130.76805,-12.4,2011-06-27T13:48:00Z,2011,6,27,13:48:00,2011-06-27T04:18:00Z,5.56585,8,NRSDAR20110627_014,6.3,0.32,0.11,0.2,,,1931.42,2203.74,32.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR20111005,0,Darwin,130.76805,-12.4,2011-10-05T09:31:00Z,2011,10,5,09:31:00,2011-10-05T00:01:00Z,1.37523,2.1,NRSDAR20111005_000,6.5,0.29,0.08,0.2,,,3986.26,2267.87,33.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR20111005,10,Darwin,130.76805,-12.4,2011-10-05T09:31:00Z,2011,10,5,09:31:00,2011-10-05T00:01:00Z,1.37523,2.1,NRSDAR20111005_010,6.3,0.26,0.04,0.1,,,3977.22,2266.31,33.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR20111005,20,Darwin,130.76805,-12.4,2011-10-05T09:31:00Z,2011,10,5,09:31:00,2011-10-05T00:01:00Z,1.37523,2.1,NRSDAR20111005_020,6.4,0.25,0.1,0.1,,,3967.92,2260.35,33.72,,,,0.016,0,0.039,0.022,,0,0,0,0,0.007,0.192,0.007,0,0.027,0.005,0.011,0.017,0,0.016,0,0,0.012,0,0,0.09,0,0,0,0,0.075,0.075,0,0.617,0.617,0,0,0,0,,,0.042,0,,,,,,,,,
DAR20120114_2130,0,Darwin,130.76805,-12.4,2012-01-15T07:00:00Z,2012,1,15,07:00:00,2012-01-14T21:30:00Z,39.12967,2,NRSDAR20120114_2130_000,4.6,0.65,,1.9,,,1962.64,2243.91,33.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR20120114_2130,10,Darwin,130.76805,-12.4,2012-01-15T07:00:00Z,2012,1,15,07:00:00,2012-01-14T21:30:00Z,39.12967,2,NRSDAR20120114_2130_010,5.2,0.38,0.27,0.5,,,1962.82,2243.85,33.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.2493,31.4462,5.784,33.6385,0.4265,4.8678
DAR20120114_2130,20,Darwin,130.76805,-12.4,2012-01-15T07:00:00Z,2012,1,15,07:00:00,2012-01-14T21:30:00Z,39.12967,2,NRSDAR20120114_2130_020,5.5,0.31,,0.4,,,1961.57,2240.87,33.67,,,,0,0,0.036,0.022,,0,0,0,0,0,0.176,0,0,0.017,0.004,0.016,0,0,0.016,0,0,0.01,0,0,0.101,0,0,0,0,0.049,0.049,0,0.532,0.532,0,0,0,0,,,0.044,0,,,,1020.294,31.4572,5.7867,33.6463,0.627,9.6575
DAR20120114_2335,0,Darwin,130.76805,-12.4,2012-01-15T09:05:00Z,2012,1,15,09:05:00,2012-01-14T23:35:00Z,26.32359,2,NRSDAR20120114_2335_000,5.3,0.27,0.35,0.2,,,1948.68,2229.31,33.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
