NRScode,Sample,Station,Longitude,Latitude,SampleDateLocal,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,ZoopAbundance_m3,CopeAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,NoCopepodSpecies_Sample,ShannonCopepodDiversity,CopepodEvenness,PhytoBiomassCarbon_pg_L,AbundancePhyto_cells_L,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversity,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversity,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversity,DinoflagellateEvenness,CTD_SST_C,CTDChla_mgm3,CTDSalinity_psu,MLD_temp,MLD_sal,DCM,Silicate_umolL,Phosphate_umolL,Ammonium_umolL,Nitrate_umolL,Nitrite_umolL,Oxygen_umolL,TCO2_umolkg,TAlkalinity_umolkg,Salinity_PSU,Chla_mgm3
DAR20180209_0630,832,Darwin,130.76805,-12.4,2018-02-09T16:00:00Z,2018,2,9,16:00:00,2018-02-09T06:30:00Z,33.61363,0,,,,,,,,,,,,,,,,,,,,29.8740642857143,1.15748571428571,31.6739285714286,6.96,5.966,10.937,7.53333333333333,0.18,0.0733333333333333,0.566666666666667,0.226666666666667,,,2094.39,31.0953333333333,1.307
DAR20190213_2130,892,Darwin,130.76805,-12.4,2019-02-14T07:00:00Z,2019,2,14,07:00:00,2019-02-13T21:30:00Z,14.45175,0,,,,,,,658064.264559461,300,,75654.0616232639,3,1.03972077083992,0.946394630357186,2,0.636514168294813,0.918295834054489,,,,29.8701333333333,0.546475,34.0774666666667,5.965,8.948,15.908,10.4666666666667,0.58,0.143333333333333,4,0.856666666666667,,,2258.71666666667,34.0716666666667,0.686
DAR20190214_0330,894,Darwin,130.76805,-12.4,2019-02-14T13:00:00Z,2019,2,14,13:00:00,2019-02-14T03:30:00Z,10.98338,0,,,,,,,,,,,,,,,,,,,,29.8266,0.58695,34.1160833333333,16.902,7.954,18.89,11.0666666666667,0.683333333333333,0.136666666666667,4.2,0.84,,,2253.37,34.106,1.0325
DAR20200204_0030,1007,Darwin,130.76805,-12.4,2020-02-04T10:00:00Z,2020,2,4,10:00:00,2020-02-04T00:30:00Z,74.89921,0,,,,,,,,,,,,,,,,,,,,30.3850428571429,0.704707142857143,34.2501071428572,15.908,5.966,5.966,4.26666666666667,0.216666666666667,0.14,0.5,0.196666666666667,,,2250.20666666667,34.258,1.2725
DAR20200204_0330,1008,Darwin,130.76805,-12.4,2020-02-04T13:00:00Z,2020,2,4,13:00:00,2020-02-04T03:30:00Z,59.0357,0,,,,,,,,,,,,,,,,,,,,30.40085,0.736471428571429,34.37995,11.931,5.966,7.954,5,0.31,0.13,0.933333333333333,0.41,,,2254.48666666667,34.3886666666667,1.7785
DAR20121208_1630,368,Darwin,130.76805,-12.4,2012-12-09T02:00:00Z,2012,12,9,02:00:00,2012-12-08T16:30:00Z,60.47103,0,,,,,,,,,,,,,,,,,,,,31.9188642857143,0.911764285714286,34.51365,14.913,7.954,22.867,6.56666666666667,0.266666666666667,0.166666666666667,0.1,,,,2289.73,34.5126666666667,0.415
DAR20140117_1950,468,Darwin,130.76805,-12.4,2014-01-18T05:20:00Z,2014,1,18,05:20:00,2014-01-17T19:50:00Z,1.44399,9511.222,7713.5936,0.787932225427744,0.964480865602766,28,1.36335202605649,0.409144163238889,,,,,,,,,,,,,,,,,,,,6.2,0.536666666666667,0.22,1.4,,,,2265.16666666667,34.09,1.243
DAR20180209_0030,811,Darwin,130.76805,-12.4,2018-02-09T10:00:00Z,2018,2,9,10:00:00,2018-02-09T00:30:00Z,42.65144,16633.7909,13053.8153,0.635884341995821,,19,1.18379745104338,0.402045163584443,,,,,,,,,,,,,,29.62155,0.942571428571429,32.3081642857143,17.896,5.966,5.966,5.9,0.186666666666667,0.156666666666667,0.8,0.313333333333333,,,2134.11666666667,31.83,1.955
DAR20160530,706,Darwin,130.76805,-12.4,2016-05-31T07:50:00Z,2016,5,31,07:50:00,2016-05-30T22:20:00Z,29.30428,14923.2625,11127.6142,0.621730776561715,0.996655511942023,19,1.40106303882311,0.475833613376409,5615499.64445768,21250.01,0.994891191654259,10139.5859647439,10,1.41470700842118,0.614399447267174,9,1.35228683432065,0.615452261124841,,,,29.94042,0.478866666666667,34.4528666666667,6.96,14.913,14.913,7.16666666666667,0.153333333333333,0.68,0.433333333333333,,,,2276.76666666667,34.4606666666667,0.84
DAR20170202_2130,752,Darwin,130.76805,-12.4,2017-02-03T07:00:00Z,2017,2,3,07:00:00,2017-02-02T21:30:00Z,56.44356,0,,,,,,,,,,,,,,,,,,,,30.4969153846154,1.04136153846154,32.8324846153846,13.919,5.966,17.896,2.975,0.245,0.2675,1.1,,,,2201.20666666667,32.8766666666667,0.922
DAR20141130,542,Darwin,130.76805,-12.4,2014-12-01T07:18:00Z,2014,12,1,07:18:00,2014-11-30T21:48:00Z,28.52629,6738.65,4322.1662,0.568122055438568,,18,1.72105807281905,0.595445228842039,,,,,,,,,,,,,,,,,,,,5.96666666666667,0.263333333333333,0.206666666666667,0.2,,,,2312.85333333333,35.0446666666667,0.795
DAR20171009,808,Darwin,130.76805,-12.4,2017-10-10T07:57:00Z,2017,10,10,07:57:00,2017-10-09T22:27:00Z,87.81119,4840.3355,2674.3407,0.641208381055597,0.97849461319348,17,1.64360289719354,0.580119707766322,3707836.95956901,28685,0.921259842519685,6497.78063689864,6,1.61705315250955,0.902494548113777,5,1.41274463686385,0.877787596495242,1,0,,30.25558,0.7002,34.9159733333333,5.966,15.908,15.908,5.5,0.293333333333333,0.106666666666667,0.2,0.146666666666667,,,2308.64666666667,34.916,1.2325
