SAMPLE,STATION,SAMPLEDATELOCAL,NRS_CODE,TAXON_NAME,SPCODE,COUNTS,SAMPVOL_M3
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Sardinops sagax",37085002,13,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Triglidae & Peristediidae - undifferentiated",37288000,13,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Platycephalidae - undifferentiated",37296900,3,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Pelates spp.",37321908,7,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Pomatomus saltatrix",37334002,1,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Trachurus novaezelandiae",37337003,22,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Chrysophrys auratus",37353001,1,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Mullidae - undifferentiated",37355000,6,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Callionymidae - undifferentiated",37427917,1,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Etrumeus teres",37085001,2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Sardinops sagax",37085002,13,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Engraulis australis",37086001,1,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Scorpaenidae - undifferentiated",37287900,1,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Triglidae & Peristediidae - undifferentiated",37288000,12,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Platycephalidae - undifferentiated",37296900,2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Pelates spp.",37321908,2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Trachurus novaezelandiae",37337003,60,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Mullidae - undifferentiated",37355000,2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Callionymidae - undifferentiated",37427917,3,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Engyprosopon spp.",37460908,1,272.2
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sardinops sagax",37085002,13,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Engraulis australis",37086001,7,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Scorpaenidae - undifferentiated",37287900,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Triglidae & Peristediidae - undifferentiated",37288000,2,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Platycephalidae - undifferentiated",37296900,13,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Dactyloptena spp.",37308902,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Serranidae subfam. Anthiinae",37311907,6,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sillago flindersi",37330014,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Pomatomus saltatrix",37334002,26,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Trachurus novaezelandiae",37337003,37,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Lutjanidae - undifferentiated",37346932,22,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Nemipteridae - undifferentiated",37347000,2,152.80000000000001
