SAMPLE,STATION,SAMPLEDATE,NRS_CODE,TAXON_NAME,COUNTS,VOLUME_SAMPLED_M3
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Sardinops sagax",13,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Triglidae & Peristediidae - undifferentiated",13,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Platycephalidae - undifferentiated",3,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Pelates spp.",7,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Pomatomus saltatrix",1,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Trachurus novaezelandiae",22,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Chrysophrys auratus",1,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Mullidae - undifferentiated",6,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Callionymidae - undifferentiated",1,55
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Etrumeus teres",2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Sardinops sagax",13,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Engraulis australis",1,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Scorpaenidae - undifferentiated",1,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Triglidae & Peristediidae - undifferentiated",12,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Platycephalidae - undifferentiated",2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Pelates spp.",2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Trachurus novaezelandiae",60,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Mullidae - undifferentiated",2,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Callionymidae - undifferentiated",3,272.2
498,North Stradbroke,2014-09-17 10:30:00,NSI20140917,"Engyprosopon spp.",1,272.2
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sardinops sagax",13,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Engraulis australis",7,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Scorpaenidae - undifferentiated",1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Triglidae & Peristediidae - undifferentiated",2,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Platycephalidae - undifferentiated",13,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Dactyloptena spp.",1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Serranidae subfam. Anthiinae",6,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sillago flindersi",1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Pomatomus saltatrix",26,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Trachurus novaezelandiae",37,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Lutjanidae - undifferentiated",22,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Nemipteridae - undifferentiated",2,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Gerres subfasciatus",1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Lethrinus spp.",11,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Mullidae - undifferentiated",5,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Chaetodontidae - undifferentiated",1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sphyraena spp.",1,152.80000000000001
