TAXON_NAME,START_DATE,PARENT_NAME,TRAINING,COMMENTS
Tripos lunula,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos teres,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Dactyliosolen fragilissimus <150 µm length,2012-08-07 00:00:00,Dactyliosolen fragilissimus,Pru Bonham 2012-03-01,New size classes decided on with Pru Bonham
Dactyliosolen fragilissimus >150 µm length,2012-08-07 00:00:00,Dactyliosolen fragilissimus,Pru Bonham 2012-03-01,New size classes decided on with Pru Bonham
Eucampia zodiacus,2008-09-29 00:00:00,Eucampia spp. >100 µm cell length,,Eucampia not previously speciated in NRS samples
Leptocylindrus mediterraneus (no flagellates),2016-11-01 00:00:00,Leptocylindrus mediterraneus,none required,Added to distinguish between cells with flagellate symbiont and those without
Leptocylindrus mediterraneus (with flagellates),2016-11-01 00:00:00,Leptocylindrus mediterraneus,none required,Added to distinguish between cells with flagellate symbiont and those without
Odontella aurita,2008-09-29 00:00:00,Odontella spp. ~50 µm cell length,Pru Bonham 2012-03-01,Odontella not previously speciated in NRS samples
Odontella mobiliensis,2012-08-07 00:00:00,Odontella spp. ~50 µm cell length,Pru Bonham 2012-03-01,Odontella not previously speciated in NRS samples
Odontella sinensis,2012-08-07 00:00:00,Odontella spp. ~50 µm cell length,Pru Bonham 2012-03-01,Odontella not previously speciated in NRS samples
Rhizosolenia imbricata,2015-02-01 00:00:00,Rhizosolenia imbricata group,Hobart phytoplankton workshop Feb2015,R. imbricata group used previously and still used if unsure of identification
Rhizosolenia setigera,2015-02-01 00:00:00,Rhizosolenia setigera group,Hobart phytoplankton workshop Feb2015,R. setigera group used previously and still used if unsure of identification
Rhizosolenia styliformis,2008-09-29 00:00:00,Rhizosolenia styliformis group,Hobart phytoplankton workshop Feb2015,R. styliformis group used previously and still used if unsure of identification
Hemiaulus membranaceus,2012-08-07 00:00:00,Hemiaulus spp.,Pru Bonham 2012-03-01,Hemiaulus not previously speciated in NRS samples
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
Tripos cf. pentagonus,2012-08-07 00:00:00,Tripos spp.,Pru Bonham 2012-03-01,Ceratium not routinely speciated previoulsy in NRS samples
