TRIP_CODE,SAMPLEDEPTH_M,SAMPLE_DATE_LOCAL,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,PIGMENTS_FLAG,PIGMENTS_COMMENTS
NSI20080929,WC,2008-09-29 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NSI20131212,20,2013-12-12 11:45:00,0.135,0,0.158,0,,0.127,0,0,0,0.031,0.591,0.017,0,0.013,0.006,0.039,0.003,0,0.051,0,0.004,0,0,0.004,0.008,0.025,0,0,0,0.06,0.06,0.003,0.956,0.959,0,0,0,0,,,0.015,0,1,
KAI20111026,20,2011-10-26 15:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,sample not taken (WQM out)-station start time used
ROT20140919,WC,2014-09-19 13:30:00,0.044,0,0.059,0,,0.014,0,0.014,0,0.023,0.091,0.012,0,0.023,0.008,0.082,0.004,0.032,0,0,0.005,0.013,0,0.005,0.018,0.005,0,0,0,0.091,0.091,0.008,0.468,0.476,0,0,0,0,,,0.016,0,0,Composite
ROT20140919,20,2014-09-19 13:59:00,0.079,0,0.111,0,,0.045,0,0.029,0,0.039,0.098,0.019,0,0.037,0.008,0.159,0.004,0.056,0,0,0.011,0.028,0,0.017,0.028,0.011,0,0,0,0.165,0.165,0.01,0.762,0.772,0,0,0,0,,,0.027,0,0,
MAI20101001,WC,2010-10-01 12:40:00,0.007,0,0.023,0,,0,0,0.006,0,0.01,0.055,0.006,0,0.018,0.004,0.031,0,0,0.016,0,0,0.007,0,0,0.005,0,0,0,0,0.052,0.052,0,0.23,0.23,0,0,0,0,,,0.005,0,1,
NSI20110606,WC,2011-06-06 10:00:00,0.013,0,0.018,0,,0.014,0,0,0,0.022,0.015,0.004,0,0.003,0.002,0.036,0,0,0.005,0,0,0,0,0,0.062,0.006,0,0,0.007,0.031,0.038,0.047,0.167,0.214,0,0,0,0,,,0.018,0,2,station start time used
NIN20120509,WC,2012-05-09 11:46:00,0.028,0,0.04,0,,0.01,0,0.013,0,0.016,0.042,0.006,0,0.012,0.003,0.045,0.003,0,0.013,0,0.004,0.01,0,0.005,0.08,0,0,0,0,0.065,0.065,0.063,0.405,0.468,0,0,0,0,,,0.027,0,1,
KAI20120415,WC,2012-04-15 11:45:00,0.04,0,0.039,0.003,,0,0,0.005,0,0.048,0.014,0.004,0,0.008,0.001,0.084,0,0,0.008,0,0,0.005,0,0.009,0.037,0,0,0,0,0.042,0.042,0.034,0.257,0.291,0,0,0,0,,,0.015,0,0,
NSI20120511,WC,2012-05-11 11:15:00,0.049,0,0.042,0,,0.013,0,0,0,0.014,0.075,0.011,0,0.006,0.003,0.042,0,0,0.008,0,0.003,0,0,0,0.029,0.021,0,0,0,0.052,0.052,0.013,0.362,0.375,0,0,0,0,,,0.013,0,1,
NSI20121017,WC,2012-10-17 11:15:00,0.035,0,0.041,0,,0.022,0,0,0,0.014,0.049,0.018,0,0.022,0.008,0.029,0,0,0.006,0,0.004,0.003,0,0,0.041,0.026,0,0,0,0.078,0.078,0,0.321,0.321,0,0,0,0,,,0.012,0,1,
PHB20120628,WC,2012-06-28 10:57:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,lost sample - defrosted during storage
ROT20120824,WC,2012-08-24 11:40:00,0.047,0,0.057,0,,0.014,0,0.008,0,0.04,0.052,0.008,0,0.018,0.007,0.086,0,0,0.024,0,0,0.01,0,0,0.016,0,0,0,0,0.062,0.062,0,0.382,0.382,0,0,0,0,,,0.012,0,1,
NSI20130111,WC,2013-01-11 11:20:00,0.013,0,0.024,0,,0.01,0,0,0,0.008,0.012,0.008,0,0.005,0.003,0.023,0,0,0.003,0,0.003,0,0,0,0.077,0.013,0,0,0.005,0.05,0.055,0.058,0.217,0.275,0,0,0,0,,,0.02,0,1,
PHB20120821,WC,2012-08-22 10:46:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,9,lost sample - defrosted during storage
YON20130220,WC,2013-02-20 11:55:00,0.009,0,0.013,0,,0.004,0,0,0,0.008,0.011,0,0,0,0.002,0.018,0.002,0,0.009,0,0,0,0,0,0.101,0,0,0,0.005,0.011,0.016,0.052,0.153,0.205,0,0,0,0,,,0.021,0,1,
PHB20130227,WC,2013-02-28 08:18:00,0.045,0,0.063,0,,0.021,0.041,0,0,0.01,0.156,0,0,0.006,0.002,0.022,0,0,0.016,0,0,0.007,0,0,0.005,0.003,0,0,0,0.02,0.02,0,0.457,0.457,0,0,0,0,,,0.012,0,1,
NSI20130806,WC,2013-08-06 11:10:00,0.059,0,0.046,0,,0.046,0.039,0,0,0.013,0.098,0,0,0,0,0.024,0,0,0.011,0,0,0,0,0,0.004,0,0,0,0,0.006,0.006,0,0.248,0.248,0,0,0,0,,,0.006,0,1,
PHB20130319,WC,2013-03-20 09:42:00,0.045,0,0.038,0,,0.009,0,0.005,0,0.034,0.041,0.003,0,0.006,0.002,0.048,0,0,0.012,0,0,0,0,0,0.042,0,0,0,0.011,0.035,0.046,0.041,0.257,0.298,0,0,0,0,,,0.016,0,1,
ROT20131001,WC,2013-10-01 12:45:00,0.045,0,0.064,0,,0.018,0,0.014,0,0.032,0.067,0.009,0,0.022,0.009,0.077,0,0,0.035,0,0.003,0.018,0,0.004,0.015,0,0,0,0,0.08,0.08,0,0.443,0.443,0,0,0,0,,,0.016,0,1,
PHB20090422,WC,2009-04-23 11:38:00,0.021,0,0.027,0,,0,0,0,0,0.028,0.022,0,0,0.007,0,0.047,0,0,0.012,0,0,0.006,0,0,0.028,0,0,0,0,0.039,0.039,0.016,0.208,0.224,0,0,0,0,,,0.016,0,1,
MAI20090716,WC,2009-07-16 11:36:00,0,0,0.018,0.01,,0,0,0,0,0.02,0.037,0.008,0,0.022,0.006,0.038,0,0,0.009,0,0,0.01,0,0,0.011,0,0,0,0,0.057,0.057,0.005,0.264,0.269,0,0,0,0,,,0.011,0,2,station start time used
NSI20091006,WC,2009-10-07 09:07:00,0.017,0,0,0.029,,0,0,0.006,0,0.004,0.105,0,0,0.003,0,0.011,0,0,0.012,0,0,0,0,0.008,0.017,0,0,0,0,0.019,0.019,0,0.267,0.267,0,0,0,0,,,0.009,0,2,station start time used
NSI20091115,WC,2009-11-16 10:30:00,0,0,0.006,0,,0,0,0,0,0.013,0.018,0,0,0,0,0.022,0,0,0.006,0,0,0,0,0,0.031,0,0,0,0,0.01,0.01,0,0.11,0.11,0,0,0,0,,,0.004,0,2,station start time used
PHB20120212,WC,2012-02-13 10:03:00,0.009,0,0.017,0.005,,0.017,0.034,0,0,0,0.036,0.003,0,0.009,0.001,0.008,0,0,0.003,0,0,0.003,0,0,0.046,0.004,0,0,0,0.049,0.049,0,0.246,0.246,0,0,0.061,0,,,0.01,0,2,used station start time
KAI20110718,WC,2011-07-19 09:15:00,0.031,0,0.048,0.005,,0,0,0.006,0,0.039,0.05,0.008,0,0.02,0.003,0.079,0,0,0.011,0,0.002,0.014,0,0.006,0.04,0,0,0,0,0.083,0.083,0.036,0.412,0.448,0,0,0,0,,,0.02,0,2,WQM time used
