PROJECTNAME,TRIP_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRS,NRSDAR20111005,65,Darwin,-12.4,130.76805,2011-10-05 09:31:00,1.37523,PZ
NRS,NRSDAR20150316,555,Darwin,-12.4,130.76805,2015-03-17 08:35:00,36.84401,PZ
NRS,NRSDAR20201123,1137,Darwin,-12.4,130.76805,2020-11-24 07:23:00,28.39158,PZ
NRS,NRSESP20100322,106,Esperance,-33.93333,121.85,2010-03-22 09:40:00,12.27495,PZ
NRS,NRSESP20110512,27,Esperance,-33.93333,121.85,2011-05-12 10:10:00,14.11383,PZ
NRS,NRSKAI20091007,178,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,,P
NRS,NRSKAI20110123,189,Kangaroo Island,-35.83217,136.44733,2011-01-24 07:40:00,,P
NRS,NRSKAI20140507,512,Kangaroo Island,-35.83217,136.44733,2014-05-07 13:45:00,7.17165,PZ
NRS,NRSKAI20141029,546,Kangaroo Island,-35.83217,136.44733,2014-10-29 11:00:00,5.21253,FPZ
NRS,NRSKAI20150408,625,Kangaroo Island,-35.83217,136.44733,2015-04-09 07:11:00,1.01138,FPZ
NRS,NRSKAI20150629,640,Kangaroo Island,-35.83217,136.44733,2015-06-30 07:35:00,0.43496,FPZ
NRS,NRSMAI20100120,105,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00,7.67381,PZ
NRS,NRSMAI20100527,40,Maria Island,-42.59667,148.23333,2010-05-27 11:30:00,4.16401,PZ
NRS,NRSMAI20110118,155,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00,10.45424,PZ
NRS,NRSMAI20131117,457,Maria Island,-42.59667,148.23333,2013-11-18 10:50:00,8.51622,PZ
NRS,NRSMAI20140408,486,Maria Island,-42.59667,148.23333,2014-04-08 11:03:00,4.68447,PZ
NRS,NRSMAI20140821,529,Maria Island,-42.59667,148.23333,2014-08-21 11:50:00,1.15048,PZ
NRS,NRSMAI20141127,541,Maria Island,-42.59667,148.23333,2014-11-28 09:30:00,11.00502,FPZ
NRS,NRSMAI20151001,648,Maria Island,-42.59667,148.23333,2015-10-01 11:05:00,26.87601,PZ
NRS,NRSMAI20151216,672,Maria Island,-42.59667,148.23333,2015-12-17 09:35:00,2.82905,FPZ
NRS,NRSMAI20160428,678,Maria Island,-42.59667,148.23333,2016-04-28 10:47:00,13.58417,FPZ
NRS,NRSMAI20160530,682,Maria Island,-42.59667,148.23333,2016-05-31 09:45:00,3.78621,FPZ
