TRIP_CODE,SAMPLEDEPTH_M,REPLICATE,TSS_MGL,INORGANICFRACTION_MGL,ORGANICFRACTION_MGL,TSSFLAG,SECCHIDEPTH_M,SECCHIFLAG
NRSPHB20101110,WC,1,0.7,0.5,0.3,1,16,0
NRSKAI20110427,WC,1,1.1,0.6,0.6,0,(null),0
NRSNSI20100214,WC,1,0.6,0.4,0.2,1,25,0
NRSPHB20110420,WC,1,0.6,0.2,0.4,1,19,0
NRSNSI20100411,WC,1,1.1,0.7,0.4,1,19,0
NRSNIN20101108,WC,1,1.3,0.5,0.8,1,14,0
NRSMAI20120412,WC,1,0.5,0.1,0.4,1,12,0
NRSMAI20120412,WC,2,0.2,-0.1,0.3,1,12,0
NRSPHB20111206,WC,1,1.4,1.1,0.2,1,15,0
NRSPHB20111206,WC,2,2.7,2.4,0.4,1,15,0
NRSYON20100909,WC,1,1.1,0.8,0.3,1,13,0
NRSYON20100909,WC,2,0.8,0.5,0.3,1,13,0
NRSKAI20120116,WC,1,1.7,1,0.7,1,(null),0
NRSKAI20120116,WC,2,2.1,1.4,0.7,1,(null),0
NRSPHB20090422,WC,1,16.2,13.1,3.1,4,13.25,0
NRSPHB20100316,WC,1,1.7,1.1,0.6,1,17.5,0
NRSPHB20101019,WC,1,11.9,10.6,1.3,4,19.5,0
NRSYON20120208,WC,1,1.2,0.9,0.4,1,11,0
NRSYON20120208,WC,2,1.1,0.7,0.4,1,11,0
NRSPHB20110619,WC,1,26.9,23.1,3.8,4,14,0
NRSYON20100119,WC,1,1.8,1.5,0.3,1,14,0
NRSYON20100119,WC,2,1.4,1.1,0.3,1,14,0
NRSROT20100617,WC,1,1,0.7,0.3,1,15.5,0
NRSYON20111213,WC,1,1.3,1.1,0.2,1,5.5,0
NRSYON20111213,WC,2,1.2,0.9,0.3,1,5.5,0
NRSPHB20111117,WC,1,2.2,1.7,0.5,1,15,0
NRSPHB20111117,WC,2,2.1,1.8,0.3,1,15,0
NRSYON20091215,WC,1,1.5,1.1,0.4,1,11,0
NRSYON20091215,WC,2,1.4,1,0.4,1,11,0
NRSPHB20120517,WC,1,1.2,0.9,0.4,1,11,1
NRSPHB20120517,WC,2,1,0.5,0.5,1,11,1
NRSMAI20090716,WC,1,1.3,0.9,0.4,1,20,1
NRSYON20100729,WC,1,1.5,1.2,0.3,1,20,0
NRSYON20100729,WC,2,1.2,0.9,0.3,1,20,0
NRSNIN20120226,WC,1,1.3,0.8,0.4,1,8,0
NRSNIN20120226,WC,2,1.3,0.8,0.5,1,8,0
NRSNIN20110706,WC,1,0.7,0.3,0.4,1,15.5,0
NRSROT20100416,WC,1,1.1,0.9,0.3,1,17.3,0
NRSESP20110512,WC,1,0.7,0.3,0.4,1,12,0
NRSYON20110414,WC,1,1.2,0.8,0.4,1,16,0
NRSYON20110414,WC,2,1.3,0.9,0.4,1,16,0
NRSMAI20110812,WC,1,0.6,0.2,0.4,1,21,0
NRSMAI20110531,WC,1,0.5,0.5,0,1,16,0
NRSMAI20090421,WC,1,2.1,1.6,0.5,1,15.2,1
NRSMAI20090506,WC,1,0.7,0.2,0.5,1,9,1
NRSESP20090512,WC,1,(null),(null),(null),9,14,1
NRSPHB20090819,WC,1,(null),(null),(null),9,15.5,0
NRSMAI20090907,WC,1,15.9,13.1,2.8,4,17,0
NRSNSI20091006,WC,1,(null),(null),(null),9,17,0
NRSMAI20091111,WC,1,1.6,1.1,0.5,1,19,1
NRSMAI20091111,WC,0,-4,-14,10,1,19,1
NRSNSI20091115,WC,0,(null),(null),(null),0,20,1
NRSNSI20091115,WC,1,0.8,0.7,0.2,0,20,1
NRSPHB20100119,WC,1,1.7,1.1,0.6,1,15,0
NRSMAI20100527,WC,1,0.8,0.6,0.3,1,26,0
NRSMAI20100722,WC,1,0.7,0.5,0.3,1,22,0
NRSROT20100924,WC,1,0.3,0.3,0.1,1,22,0
NRSPHB20120212,WC,1,(null),(null),(null),9,13.5,0
NRSMAI20110328,WC,0,(null),(null),(null),0,12,0
NRSMAI20110328,WC,1,0,-0.1,0.1,0,12,0
NRSYON20110527,WC,1,1.5,1.1,0.4,1,13,0
NRSYON20110527,WC,2,1.4,0.9,0.4,1,13,0
NRSDAR20110627,WC,1,1.7,1.5,0.2,1,8,1
NRSPHB20090623,WC,1,6.5,5.8,0.7,2,12,0
NRSYON20090909,WC,1,2.5,1.7,0.8,1,9.5,0
NRSYON20090909,WC,2,14.4,11.9,2.5,4,9.5,0
NRSMAI20091013,WC,1,1.7,1.1,0.6,1,11,1
NRSESP20091216,WC,1,(null),(null),(null),9,13.2,1
NRSROT20101124,WC,1,0.7,0.4,0.3,1,17.2,0
NRSKAI20100419,WC,1,9,1.2,7.8,0,(null),0
NRSYON20100521,WC,1,1.4,1.2,0.3,1,11,0
NRSYON20100521,WC,2,2.6,2.3,0.3,1,11,0
NRSROT20100723,WC,1,0.7,0.4,0.4,1,19.5,0
NRSKAI20110319,WC,1,2,1,1.1,0,(null),0
NRSROT20110923,WC,1,0.6,0.3,0.4,1,21.5,0
NRSROT20120130,WC,1,0.6,0.2,0.4,1,15,0
NRSROT20120130,WC,2,0.9,0.4,0.4,1,15,0
NRSROT20120221,WC,1,0.5,0.2,0.3,1,20.5,1
NRSROT20120221,WC,2,0.7,0.3,0.4,1,20.5,1
NRSKAI20120415,WC,1,0.7,0.2,0.5,1,15.5,1
NRSKAI20120415,WC,2,2.3,1.7,0.7,1,15.5,1
NRSKAI20110718,WC,1,1,0.4,0.6,0,13.5,0
NRSPHB20100218,WC,1,(null),(null),(null),9,17.5,1
NRSPHB20120311,WC,1,0.5,0,0.5,1,17.5,0
NRSPHB20120311,WC,2,0.6,0.3,0.3,1,17.5,0
NRSPHB20111018,WC,1,7.3,6.3,1,4,11,0
NRSESP20090623,WC,1,(null),(null),(null),9,13,1
NRSDAR20111005,WC,1,7.8,6.7,1.2,2,2.1,1
NRSDAR20111005,WC,2,7.7,6.6,1.1,2,2.1,1
NRSNSI20091215,WC,1,1.1,0.6,0.5,9,13.5,0
NRSMAI20090820,WC,1,1.4,0.3,1.1,1,19,0
NRSKAI20100315,WC,1,(null),(null),(null),9,(null),9
NRSNSI20100322,WC,1,0.8,0.5,0.4,1,18,0
NRSYON20101101,WC,1,1.1,1,0.1,1,15,0
NRSYON20101101,WC,2,1.1,0.9,0.2,1,15,0
NRSESP20110818,WC,1,1.4,1,0.5,1,11,0
NRSDAR20120114_21:30,WC,1,(null),(null),(null),9,2,1
NRSYON20120112,WC,1,0.9,0.5,0.4,1,9.5,0
NRSYON20120112,WC,2,1.3,1,0.4,1,9.5,0
NRSROT20120329,WC,1,0.8,0.2,0.5,1,16.5,0
NRSROT20120329,WC,2,0.8,0.3,0.5,1,16.5,0
NRSMAI20120524,WC,1,0.2,0,0.2,1,16,0
NRSMAI20120524,WC,2,0.4,0.1,0.3,1,16,0
NRSPHB20110517,WC,1,0.9,0.5,0.4,1,14.5,0
NRSMAI20111005,WC,1,1.1,0.6,0.5,1,10,0
NRSNSI20111013,WC,1,13.1,11.2,1.9,4,21,0
NRSPHB20090714,WC,1,(null),(null),(null),9,10,0
NRSPHB20090518,WC,1,13.4,10.6,2.7,4,11.5,0
NRSPHB20091206,WC,1,1.3,1.1,0.2,1,14,0
NRSNSI20091015,WC,1,(null),(null),(null),9,12,0
NRSPHB20091110,WC,1,1.2,0,1.2,1,22,0
NRSROT20100315,WC,1,0.8,0.4,0.4,1,18.2,0
NRSKAI20101213,WC,1,26.2,22.7,3.5,0,(null),0
NRSMAI20100615,WC,1,1,0.7,0.3,1,21,0
NRSNSI20100618,WC,1,1.1,0.7,0.4,1,12.5,0
NRSESP20100629,WC,1,1,0.3,0.7,1,10.7,1
NRSESP20100629,WC,0,(null),(null),(null),1,10.7,1
NRSYON20100817,WC,1,1.2,1,0.2,1,17,0
NRSYON20100817,WC,2,1.4,1.1,0.3,1,17,0
NRSESP20110120,WC,1,0.1,-0.2,0.3,1,15,0
NRSESP20110120,WC,2,0.3,-0.9,1.2,1,15,0
NRSMAI20101214,WC,1,0.6,0.3,0.3,1,11,0
NRSNIN20111107,WC,1,0.4,0.2,0.2,1,18,0
NRSDAR20120115_03:35,WC,1,(null),(null),(null),9,1.5,1
NRSNSI20111220,WC,1,1.4,0.9,0.5,1,18,1
NRSNSI20111220,WC,2,0.6,0.3,0.3,1,18,1
NRSESP20120229,WC,1,1.8,0.7,1.1,1,10,0
NRSESP20120229,WC,2,1.9,0.6,1.3,1,10,0
NRSMAI20120222,WC,1,0.5,0.2,0.3,1,15,0
NRSMAI20120222,WC,2,0.3,0.1,0.3,1,15,0
NRSKAI20120215,WC,1,12.3,9.4,2.9,1,15.5,0
NRSKAI20120215,WC,2,13.1,10.1,3,1,15.5,0
NRSNSI20110412,WC,1,0.5,0.3,0.2,1,27,0
NRSYON20110811,WC,1,1.1,0.9,0.2,1,14,0
NRSYON20110811,WC,2,0.7,0.5,0.2,1,14,0
NRSYON20110720,WC,1,1,0.7,0.4,1,18,0
NRSYON20110720,WC,2,0.9,0.6,0.4,1,18,0
NRSNSI20110727,WC,1,0.5,0.1,0.4,1,17,0
NRSPHB20090318,WC,1,(null),(null),(null),9,10,0
NRSPHB20091011,WC,1,2.4,1.4,1,1,14,0
NRSROT20091222,WC,1,(null),(null),(null),9,16.3,0
NRSMAI20100120,WC,1,1.3,1,0.3,1,11.5,0
NRSMAI20100120,WC,0,0.8,0.6,0.3,1,11.5,0
NRSESP20100322,WC,1,1.4,0.7,0.7,1,10.5,1
NRSESP20100322,WC,0,(null),(null),(null),1,10.5,1
NRSMAI20100330,WC,0,(null),(null),(null),0,18,0
NRSMAI20100330,WC,1,0.8,0.4,0.4,0,18,0
NRSKAI20101120,WC,1,15.3,12.7,2.6,0,(null),0
NRSPHB20101213,WC,1,2.1,1.3,0.8,1,8.5,0
NRSNSI20100711,WC,1,1.1,0.7,0.5,1,18,0
NRSPHB20110203,WC,1,1.1,0.7,0.4,1,18,1
