PROJECTNAME,TRIP_CODE,STATION,STATIONCODE,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SECCHI_M,SAMPLETYPE
NRS,DAR20191105,Darwin,DAR,130.76805,-12.4,2019-11-06 07:38:00,41.06691,4,PZ
NRS,DAR20120114_2130,Darwin,DAR,130.76805,-12.4,2012-01-15 07:00:00,39.12967,2,PZ
NRS,DAR20121208_1630,Darwin,DAR,130.76805,-12.4,2012-12-09 02:00:00,60.47103,,PZ
NRS,DAR20130617_1130,Darwin,DAR,130.76805,-12.4,2013-06-17 21:00:00,23.55495,,PZ
NRS,DAR20190722_2130,Darwin,DAR,130.76805,-12.4,2019-07-23 07:00:00,52.76691,1.75,PZ
NRS,DAR20140906_0330,Darwin,DAR,130.76805,-12.4,2014-09-06 13:00:00,30.50458,5.5,Z
NRS,DAR20170715_0330,Darwin,DAR,130.76805,-12.4,2017-07-15 13:00:00,242.84681,2,PZ
NRS,DAR20170202_2130,Darwin,DAR,130.76805,-12.4,2017-02-03 07:00:00,56.44356,2.5,PZ
NRS,DAR20150203_0630,Darwin,DAR,130.76805,-12.4,2015-02-03 16:00:00,32.54827,3,Z
NRS,DAR20140702,Darwin,DAR,130.76805,-12.4,2014-07-03 09:08:00,31.04592,2,Z
NRS,ESP20090512,Esperance,ESP,121.85,-33.93333,2009-05-12 12:10:00,23.95266,14,PZ
NRS,ESP20121212,Esperance,ESP,121.85,-33.93333,2012-12-12 09:10:00,5.80741,11.5,PZ
NRS,ESP20090917,Esperance,ESP,121.85,-33.93333,2009-09-17 09:40:00,7.84276,11.5,PZ
NRS,KAI20130827,Kangaroo Island,KAI,136.44733,-35.83217,2013-08-28 08:55:00,1.71865,,PZ
NRS,KAI20180307,Kangaroo Island,KAI,136.44733,-35.83217,2018-03-07 12:20:00,15.54919,,PZ
NRS,KAI20111115,Kangaroo Island,KAI,136.44733,-35.83217,2011-11-15 11:30:00,2.34104,,PZ
NRS,KAI20101213,Kangaroo Island,KAI,136.44733,-35.83217,2010-12-14 08:30:00,4.15517,,PZ
NRS,KAI20100419,Kangaroo Island,KAI,136.44733,-35.83217,2010-04-20 07:00:00,0.96541,,PZ
NRS,KAI20160223,Kangaroo Island,KAI,136.44733,-35.83217,2016-02-24 07:55:00,14.23721,,PZ
NRS,MAI20111214,Maria Island,MAI,148.23333,-42.59667,2011-12-15 10:35:00,6.97538,9,PZ
NRS,MAI20170801,Maria Island,MAI,148.23333,-42.59667,2017-08-01 10:01:00,13.34842,21,PZ
NRS,MAI20190320,Maria Island,MAI,148.23333,-42.59667,2019-03-21 09:35:00,15.19202,30,FPZ
NRS,MAI20201118,Maria Island,MAI,148.23333,-42.59667,2020-11-19 09:45:00,35.151,10,PZ
NRS,MAI20140318,Maria Island,MAI,148.23333,-42.59667,2014-03-19 10:55:00,41.08258,14,PZ
NRS,MAI20141208,Maria Island,MAI,148.23333,-42.59667,2014-12-09 10:05:00,4.19053,13,FPZ
NRS,MAI20160831,Maria Island,MAI,148.23333,-42.59667,2016-08-31 10:26:00,2.88563,16,FPZ
NRS,MAI20140205,Maria Island,MAI,148.23333,-42.59667,2014-02-05 11:05:00,21.86546,17,PZ
NRS,NIN20130509,Ningaloo,NIN,113.779,-21.99,2013-05-09 10:20:00,13.16924,12,PZ
NRS,NIN20120226,Ningaloo,NIN,113.779,-21.99,2012-02-26 09:54:00,26.25362,8,PZ
NRS,NIN20130209,Ningaloo,NIN,113.779,-21.99,2013-02-09 09:22:00,49.52259,23,PZ
NRS,NSI20091215,North Stradbroke,NSI,153.562,-27.345,2009-12-16 09:00:00,25.58365,13.5,PZ
NRS,NSI20101215,North Stradbroke,NSI,153.562,-27.345,2010-12-16 08:30:00,12.00419,21,PZ
NRS,NSI20110727,North Stradbroke,NSI,153.562,-27.345,2011-07-28 09:30:00,6.35251,17,PZ
NRS,NSI20120213,North Stradbroke,NSI,153.562,-27.345,2012-02-14 08:00:00,6.75115,19,PZ
NRS,NSI20130806,North Stradbroke,NSI,153.562,-27.345,2013-08-06 10:15:00,13.50873,23,PZ
NRS,NSI20150907,North Stradbroke,NSI,153.562,-27.345,2015-09-07 10:40:00,13.75306,12,FPZ
NRS,NSI20151119,North Stradbroke,NSI,153.562,-27.345,2015-11-19 10:24:00,9.38088,20,FPZ
NRS,NSI20160517,North Stradbroke,NSI,153.562,-27.345,2016-05-17 10:30:00,9.90169,29,FPZ
NRS,NSI20161215,North Stradbroke,NSI,153.562,-27.345,2016-12-15 10:15:00,42.08861,15,FPZ
NRS,NSI20170117,North Stradbroke,NSI,153.562,-27.345,2017-01-17 10:30:00,12.67287,25,FPZ
NRS,NSI20180302,North Stradbroke,NSI,153.562,-27.345,2018-03-02 10:25:00,10.2939,21,FPZ
NRS,NSI20191220,North Stradbroke,NSI,153.562,-27.345,2019-12-20 10:20:00,9.78595,17,FPZ
NRS,NSI20200228,North Stradbroke,NSI,153.562,-27.345,2020-02-28 10:30:00,10.6861,22,FPZ
NRS,NSI20201116,North Stradbroke,NSI,153.562,-27.345,2020-11-16 10:10:00,25.98229,19,PZ
NRS,NSI20081119,North Stradbroke,NSI,153.562,-27.345,2008-11-19 10:30:00,7.27838,18,Z
NRS,NSI20090218,North Stradbroke,NSI,153.562,-27.345,2009-02-18 10:30:00,16.26063,14,Z
NRS,NSI20090416,North Stradbroke,NSI,153.562,-27.345,2009-04-16 10:30:00,10.14601,21,Z
NRS,NSI20180913,North Stradbroke,NSI,153.562,-27.345,2018-09-13 10:20:00,20.56851,27.5,FPZ
NRS,NSI20130520,North Stradbroke,NSI,153.562,-27.345,2013-05-20 10:05:00,11.20691,17,PZ
NRS,NSI20140306,North Stradbroke,NSI,153.562,-27.345,2014-03-06 10:15:00,23.1468,20,PZ
NRS,NSI20121114,North Stradbroke,NSI,153.562,-27.345,2012-11-14 10:45:00,19.54619,16.5,PZ
NRS,NSI20121017,North Stradbroke,NSI,153.562,-27.345,2012-10-17 10:20:00,21.71942,13,PZ
NRS,NSI20150304,North Stradbroke,NSI,153.562,-27.345,2015-03-04 10:30:00,6.30107,27,FPZ
NRS,NSI20171116,North Stradbroke,NSI,153.562,-27.345,2017-11-16 10:30:00,7.92135,24.5,FPZ
NRS,PH420020820,Port Hacking 4,PH4,151.21815,-34.11758,2002-08-20 00:00:00,,,Z
NRS,PH420020926,Port Hacking 4,PH4,151.21815,-34.11758,2002-09-26 00:00:00,,,Z
NRS,PH420030530,Port Hacking 4,PH4,151.21815,-34.11758,2003-05-30 00:00:00,,,Z
NRS,PH420031027,Port Hacking 4,PH4,151.21815,-34.11758,2003-10-27 00:00:00,,,Z
NRS,PH420040524,Port Hacking 4,PH4,151.21815,-34.11758,2004-05-24 00:00:00,,,Z
NRS,PH420040725,Port Hacking 4,PH4,151.21815,-34.11758,2004-07-25 00:00:00,,,Z
NRS,PHB20090422,Port Hacking,PHB,151.22667,-34.11923,2009-04-23 09:38:00,39.05509,13.25,PZ
NRS,PHB20090924,Port Hacking,PHB,151.22667,-34.11923,2009-09-25 08:45:00,32.36438,10.75,PZZ
NRS,PHB20100316,Port Hacking,PHB,151.22667,-34.11923,2010-03-17 09:05:00,30.88973,17.5,PZ
NRS,PHB20150630,Port Hacking,PHB,151.22667,-34.11923,2015-06-30 11:11:00,2.95636,17,FPZ
NRS,PHB20170205,Port Hacking,PHB,151.22667,-34.11923,2017-02-06 10:49:00,8.86908,11,FPZ
NRS,PHB20170321,Port Hacking,PHB,151.22667,-34.11923,2017-03-22 09:21:00,6.40427,,FPZ
NRS,PHB20171024,Port Hacking,PHB,151.22667,-34.11923,2017-10-25 09:01:00,8.19718,7.5,FPZ
NRS,PHB20180326,Port Hacking,PHB,151.22667,-34.11923,2018-03-27 09:40:00,9.32173,12,FPZ
NRS,PHB20180724,Port Hacking,PHB,151.22667,-34.11923,2018-07-25 09:33:00,6.05417,17,FPZ
NRS,PHB20201110,Port Hacking,PHB,151.22667,-34.11923,2020-11-11 08:40:00,21.23264,14,PZ
NRS,PHB20121218,Port Hacking,PHB,151.22667,-34.11923,2012-12-19 09:31:00,2.48249,9,PZ
NRS,PHB20150518,Port Hacking,PHB,151.22667,-34.11923,2015-05-19 09:43:00,4.80939,11,PZ
NRS,PHB20140515,Port Hacking,PHB,151.22667,-34.11923,2014-05-16 09:35:00,4.44515,22.5,Z
NRS,PHB20160407,Port Hacking,PHB,151.22667,-34.11923,2016-04-08 09:13:00,6.23452,14.5,FPZ
NRS,PHB20160229,Port Hacking,PHB,151.22667,-34.11923,2016-03-01 09:00:00,11.22427,13,FPZ
NRS,PHB20200812,Port Hacking,PHB,151.22667,-34.11923,2020-08-13 09:55:00,3.38369,5,PZ
NRS,PHB20130915,Port Hacking,PHB,151.22667,-34.11923,2013-09-16 08:15:00,4.36538,12,PZ
NRS,ROT20110923,Rottnest Island,ROT,115.41667,-32,2011-09-23 09:40:00,7.52056,21.5,PZ
NRS,ROT20160527,Rottnest Island,ROT,115.41667,-32,2016-05-27 09:30:00,25.02927,8.5,FPZ
NRS,ROT20170407,Rottnest Island,ROT,115.41667,-32,2017-04-07 09:28:00,46.35719,16,FPZ
NRS,ROT20180921,Rottnest Island,ROT,115.41667,-32,2018-09-21 09:27:00,4.99799,14.5,FPZ
NRS,ROT20111221,Rottnest Island,ROT,115.41667,-32,2011-12-21 15:45:00,14.66393,21,PZ
NRS,ROT20140122,Rottnest Island,ROT,115.41667,-32,2014-01-22 10:10:00,15.87413,15,PZ
NRS,ROT20150507,Rottnest Island,ROT,115.41667,-32,2015-05-07 09:36:00,11.04902,18,PZ
NRS,ROT20091222,Rottnest Island,ROT,115.41667,-32,2009-12-22 10:00:00,9.13155,16.3,PZ
NRS,ROT20190221,Rottnest Island,ROT,115.41667,-32,2019-02-21 09:30:00,8.74649,15,FPZ
NRS,ROT20171103,Rottnest Island,ROT,115.41667,-32,2017-11-03 09:25:00,14.20813,19,FPZ
NRS,ROT20160722,Rottnest Island,ROT,115.41667,-32,2016-07-22 13:20:00,20.89571,23.5,FZ
NRS,ROT20181211,Rottnest Island,ROT,115.41667,-32,2018-12-11 09:24:00,15.15115,15,FPZ
NRS,ROT20141119,Rottnest Island,ROT,115.41667,-32,2014-11-19 10:16:00,9.80738,17,PZ
NRS,ROT20200814,Rottnest Island,ROT,115.41667,-32,2020-08-14 09:21:00,11.72289,13,Z
NRS,YON20110811,Yongala,YON,147.61842,-19.30847,2011-08-11 11:00:00,4.44346,14,PZ
NRS,YON20110908,Yongala,YON,147.61842,-19.30847,2011-09-08 11:00:00,25.53836,13,PZ
NRS,YON20111213,Yongala,YON,147.61842,-19.30847,2011-12-13 12:55:00,12.17309,5.5,PZ
NRS,YON20130416,Yongala,YON,147.61842,-19.30847,2013-04-16 11:35:00,32.22129,11,PZ
NRS,YON20131205,Yongala,YON,147.61842,-19.30847,2013-12-05 11:26:00,191.84525,15,PZ
NRS,YON20150430,Yongala,YON,147.61842,-19.30847,2015-04-30 12:10:00,6.59659,13,PZ
NRS,YON20150224,Yongala,YON,147.61842,-19.30847,2015-02-24 10:40:00,32.96936,12,PZ
NRS,YON20110414,Yongala,YON,147.61842,-19.30847,2011-04-14 11:27:00,25.74711,16,PZ
NRS,YON20201026,Yongala,YON,147.61842,-19.30847,2020-10-26 10:40:00,13.29655,11,PZ
NRS,YON20201209,Yongala,YON,147.61842,-19.30847,2020-12-10 08:00:00,17.34563,9,PZ
NRS,YON20180927,Yongala,YON,147.61842,-19.30847,2018-09-27 10:52:00,11.86434,16,PZ
NRS,YON20180720,Yongala,YON,147.61842,-19.30847,2018-07-20 10:56:00,16.81519,21,PZ
NWS,NWS_1.1,North West Shelf,NWS,120.6191,-18.1717,2015-01-18 00:11:00,,,P
NWS,NWS_1.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-18 00:11:01,,,P
NWS,NWS_8.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-22 10:04:01,,,P
NWS,NWS_9.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-22 10:57:01,,,P
NWS,NWS_15.1,North West Shelf,NWS,120.6191,-18.1717,2015-01-24 01:34:00,,,P
NWS,NWS_19.1,North West Shelf,NWS,120.6191,-18.1717,2015-01-24 22:04:01,,,P
IIOE,IIOE20190528,International Indian Ocean Expedition,IIOE,110,-22.998,2019-05-28 16:00:00,,,PZ
SOTS,SOTS20120714,Southern Ocean Time Series,SOTS,142.25826,-46.93473,2012-07-14 16:48:00,,,Z
NRS Ichthyoplankton,NSF20160920,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2016-09-20 10:15:00,,,F
NRS Ichthyoplankton,NSF20161116,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2016-11-16 10:15:00,,,F
NRS Ichthyoplankton,NSF20180123,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2018-01-23 10:20:00,,,F
NRS Ichthyoplankton,NSF20180913,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2018-09-13 10:20:00,,,F
NRS Ichthyoplankton,NSF20190618,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2019-06-18 10:00:00,,,F
NRS Ichthyoplankton,NSF20200228,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2020-02-28 10:30:00,,,F
NRS Ichthyoplankton,NSF20200528,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2020-05-28 11:00:00,,,F
NRS Ichthyoplankton,PHA20141021,Port Hacking A,PHA,151.21667,-34.08333,2014-10-22 09:30:00,,,F
NRS Ichthyoplankton,PHA20170716,Port Hacking A,PHA,151.21667,-34.08333,2017-07-17 09:42:00,,,F
NRS Ichthyoplankton,PHA20181218,Port Hacking A,PHA,151.21667,-34.08333,2018-12-19 09:40:00,,,F
NRS Ichthyoplankton,PHA20190408,Port Hacking A,PHA,151.21667,-34.08333,2019-04-09 08:50:00,,,F
NRS Ichthyoplankton,ROF20190819,Rottnest Island Ichthyo 34m,ROF,115.48333,-31.96666,2019-08-19 08:31:00,,,F
NRS,DAR20140403,Darwin,DAR,130.76805,-12.4,2014-04-04 08:03:00,69.4428,4,Z
NRS,DAR20140906_0930,Darwin,DAR,130.76805,-12.4,2014-09-06 19:00:00,32.25737,,Z
NRS,DAR20190213_2130,Darwin,DAR,130.76805,-12.4,2019-02-14 07:00:00,14.45175,1,PZ
NRS,DAR20190214_0330,Darwin,DAR,130.76805,-12.4,2019-02-14 13:00:00,10.98338,1.2,PZ
NRS,DAR20181030,Darwin,DAR,130.76805,-12.4,2018-10-31 08:26:00,,2.5,P
NRS,DAR20110627,Darwin,DAR,130.76805,-12.4,2011-06-27 13:48:00,5.56585,8,PZ
NRS,DAR20200921_2130,Darwin,DAR,130.76805,-12.4,2020-09-22 07:00:00,457.0784,0.4,PZ
NRS,DAR20200511,Darwin,DAR,130.76805,-12.4,2020-05-12 08:20:00,205.66809,1,PZ
NRS,KAI20130220,Kangaroo Island,KAI,136.44733,-35.83217,2013-02-21 07:20:00,4.10212,,Z
NRS,KAI20101120,Kangaroo Island,KAI,136.44733,-35.83217,2010-11-21 05:00:00,1.13515,,PZ
NRS,KAI20110427,Kangaroo Island,KAI,136.44733,-35.83217,2011-04-28 07:35:00,0.00176,,PZ
NRS,KAI20190320,Kangaroo Island,KAI,136.44733,-35.83217,2019-03-20 13:40:00,12.09774,,FPZ
NRS,KAI20200204,Kangaroo Island,KAI,136.44733,-35.83217,2020-02-04 14:25:00,12.02701,,PZ
NRS,MAI20120119,Maria Island,MAI,148.23333,-42.59667,2012-01-19 12:00:00,12.92524,15,PZ
NRS,MAI20170412,Maria Island,MAI,148.23333,-42.59667,2017-04-12 10:15:00,10.2506,19,FPZ
NRS,MAI20170626,Maria Island,MAI,148.23333,-42.59667,2017-06-27 09:25:00,0.74969,18,PZ
NRS,MAI20180315,Maria Island,MAI,148.23333,-42.59667,2018-03-16 08:45:00,23.33969,21,FPZ
NRS,MAI20190731,Maria Island,MAI,148.23333,-42.59667,2019-07-31 10:20:00,8.99167,21,FPZ
NRS,MAI20191210,Maria Island,MAI,148.23333,-42.59667,2019-12-11 09:30:00,9.58106,17,FPZ
NRS,MAI20140619,Maria Island,MAI,148.23333,-42.59667,2014-06-19 11:30:00,1.29193,18,PZ
NRS,MAI20090820,Maria Island,MAI,148.23333,-42.59667,2009-08-20 11:30:00,1.94055,19,PZ
NRS,MAI20110118,Maria Island,MAI,148.23333,-42.59667,2011-01-19 10:30:00,10.45424,10,PZ
NRS,MAI20110223,Maria Island,MAI,148.23333,-42.59667,2011-02-23 11:15:00,8.83637,23,PZ
NRS,MAI20110812,Maria Island,MAI,148.23333,-42.59667,2011-08-12 10:55:00,0.65421,21,PZ
NRS,MAI20111005,Maria Island,MAI,148.23333,-42.59667,2011-10-05 12:24:00,11.93507,10,PZ
NRS,MAI20130214,Maria Island,MAI,148.23333,-42.59667,2013-02-14 11:00:00,9.89238,18,PZ
NRS,MAI20180116,Maria Island,MAI,148.23333,-42.59667,2018-01-17 10:30:00,51.00785,16,FPZ
NRS,NIN20110209,Ningaloo,NIN,113.779,-21.99,2011-02-09 10:15:00,59.31112,12.5,PZ
NRS,NIN20120509,Ningaloo,NIN,113.779,-21.99,2012-05-09 10:50:00,25.84341,12.5,PZ
NRS,NSI20110412,North Stradbroke,NSI,153.562,-27.345,2011-04-13 09:25:00,9.83739,27,PZ
NRS,NSI20150528,North Stradbroke,NSI,153.562,-27.345,2015-05-28 10:15:00,9.39374,19,FPZ
NRS,NSI20160720,North Stradbroke,NSI,153.562,-27.345,2016-07-20 10:30:00,9.09155,25,FZ
NRS,NSI20160920,North Stradbroke,NSI,153.562,-27.345,2016-09-20 10:15:00,10.52536,19,FPZ
NRS,NSI20161116,North Stradbroke,NSI,153.562,-27.345,2016-11-16 10:15:00,13.11009,29,FPZ
NRS,NSI20170927,North Stradbroke,NSI,153.562,-27.345,2017-09-27 10:40:00,16.08703,13,FPZ
NRS,NSI20180320,North Stradbroke,NSI,153.562,-27.345,2018-03-20 10:40:00,10.2939,27,FPZ
