TRIP_CODE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,ZOOP_ABUNDANCE_M3
PHB20130227,Urocorycaeus longistylis f,COPEPOD,Copepod,Urocorycaeus,longistylis,765217,0.3215
ROT20110923,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,7.8585
NSI20150512,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,128817,1.837
MAI20140807,Urocorycaeus furcifer m,COPEPOD,Copepod,Urocorycaeus,furcifer,128821,0.221
NSI20171219,Urocorycaeus furcifer m,COPEPOD,Copepod,Urocorycaeus,furcifer,128821,6.4297
IIOE20190525,Urocorycaeus furcifer m,COPEPOD,Copepod,Urocorycaeus,furcifer,128821,3.5363
NSI20130806,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,128811,2.1432
NSI20140404,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,128811,6.4297
NSI20190821,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,128811,5.1437
MAI20120724,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,1.0401
PHB20121218,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.5363
PHB20100218,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,4.7151
KAI20140313,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,0.7073
ROT20140730,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,2.6195
PHB20141112,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.5902
ROT20150319,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.9292
ROT20171103,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,7.8585
PHB20180326,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.5363
PHB20180528,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,7.0726
IIOE20190606,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,3.5363
ROT20190125,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,7.8585
ROT20201013,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,8.8408
ROT20201127,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,8.8408
ROT20100315,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,346040,3.9292
ESP20130725,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,346040,2.2453
PHB20131202,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,346040,1.1788
PHB20141021,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,346040,3.5363
NIN20120226,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,42.4358
DAR20130916,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,48.2225
DAR20140117_1950,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,29.4693
ROT20150224,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,7.8585
NSI20161019,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,6.4297
NSI20110220,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,6.4297
PHB20110420,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,1.1788
ROT20130321,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.8585
NSI20140623,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,9.6445
NSI20140725,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,3.2148
PHB20140120,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,3.0381
ROT20140319,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.8585
ROT20131218,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.8585
PHB20170321,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.0726
MAI20180605,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,66.0113
ROT20171103,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.8585
PHB20190408,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.0726
IIOE20190530,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,3.5363
IIOE20190605,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,10.609
PHB20200609,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,1.4145
KAI20200527,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.0726
YON20170705,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,104551,42.4358
NSI20101215,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,6.4297
PHB20140612,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,3.6457
PHB20130611,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,1.4145
PHB20150330,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,3.5363
MAI20120820,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,0.442
MAI20171217,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,0.7858
KAI20201123,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,2.0208
MAI20201118,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,4.7151
NIN20130509,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,7.0726
NSI20121114,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,3.2148
MAI20170104,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,2.3575
IIOE20190526,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,7.0726
ROT20091222,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,51.6415
NSI20110323,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,2.1432
MAI20110328,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,1.4735
ROT20101124,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,7.8585
PHB20110829,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,1.1788
YON20120615,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,11.6582
