SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,COUNTS,SAMPVOL_L
2-69,Nematocysts,Other,(null),(null),0,1
15-1,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
15-69,Foraminifera,Foraminifera,(null),(null),0,1
15-73,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
5-5,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
5-29,Gold balls,Other,(null),(null),1,1
5-17,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,2,1
5-17,Nematocysts,Other,(null),(null),1,1
5-17,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
5-17,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
5-21,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,5,1
5-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
5-25,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,4,1
5-25,Gold balls,Other,(null),(null),1,1
5-9,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,1,1
5-9,Guinardia spp.,Centric diatom,Guinardia,spp.,1,1
5-13,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
5-13,Gold balls,Other,(null),(null),1,1
6-1,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
6-5,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
6-5,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
6-5,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
6-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
6-9,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
6-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
6-9,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
6-9,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
6-13,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
6-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,4,1
6-21,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
6-37,Radiolarian,Radiozoa,(null),(null),3,1
6-37,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
6-37,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,1,1
6-37,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,5,1
6-37,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,2,1
