SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_COUNT,SAMPVOL_L
1,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,4,0.04
1,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,10,0.04
1,Chrysophyceae,Flagellate,(null),(null),146230,2,0.04
1,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,1005,0.04
1,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,43,0.04
1,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,2601,0.04
1,Flagellate <10 µm round,Flagellate,(null),(null),146222,7685,0.04
1,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,9,0.04
1,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,2,0.04
1,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,14,0.04
1,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,39,0.04
1,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,4,0.04
1,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,82,0.04
1,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),149031,3,0.04
1,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,109921,1,0.04
1,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,2,0.04
1,Prasinophytes,Flagellate,(null),(null),17329,236,0.04
1,Proboscia alata,Centric diatom,Proboscia,alata,149168,2,0.04
1,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,3,0.04
1,Protoperidinium oceanicum,Dinoflagellate,Protoperidinium,oceanicum,110240,2,0.04
1,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,3,0.04
1,Prymnesiophytes,Flagellate,(null),(null),115057,6148,0.04
1,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,153,0.04
1,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,11,0.04
1,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,4,0.04
1,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,6,0.04
1,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,4,0.04
