SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_L,BIOVOLUME_UM3L
27,Amphora spp.,Pennate diatom,Amphora,spp.,149200,96,7037161.6
27,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,96,591121.57
27,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,24,3463602.98
27,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,149126,48,162860.03
27,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,48,904777.92
27,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,148985,168,593760.51
27,Chaetoceros spp. 10-20 µm,Centric diatom,Chaetoceros,spp.,148985,72,226194.48
27,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,120,45238.9
27,Chrysophyceae,Flagellate,(null),(null),146230,96,75398.16
27,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,13168,10342114.28
27,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,766,153200
27,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,109612,48,1950927.39
27,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,96,774716.09
27,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,64642,38077248.9
27,Flagellate <10 µm round,Flagellate,(null),(null),146222,237021,15512975.07
27,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,72,53080.3
27,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,109476,48,376990.8
27,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,109476,48,1319467.8
27,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,96,1385441.19
27,Lauderia spp.,Centric diatom,Lauderia,spp.,149134,192,6785834.4
27,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,24,102140.94
27,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,718,6766984.86
27,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,287,101434.09
27,Navicula cf. 100-120 µm length,Pennate diatom,(null),(null),149031,48,660000
27,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,168,346500
27,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,48,1130972.4
27,Peridinium spp.,Dinoflagellate,Peridinium,spp.,109549,10,96760.97
27,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,575,65030.91
27,Prasinophytes,Flagellate,(null),(null),17329,7182,1880241.62
27,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,48,5764842.78
27,Prymnesiophytes,Flagellate,(null),(null),115057,16759,8774984.47
27,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,4118,823600
27,Rhizosolenia clevei,Centric diatom,Rhizosolenia,clevei,418567,72,720994905
27,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,48,353868697.6
27,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,359,16240763.66
27,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,48,24000
27,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,479,15088500
27,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,48,432000
27,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,48,1005308.8
27,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,837459,120,2104865.3
27,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,841746,48,1793847.89
27,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,17956,5415397.44
28,Asterionellopsis spp. ~50 µm length,Pennate diatom,Asterionellopsis,spp.,149138,1404,4014785.91
28,Asteromphalus spp.,Centric diatom,Asteromphalus,spp.,162254,281,62741312.39
28,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,7722,47548341.64
28,Bellerochea spp.,Centric diatom,Bellerochea,spp.,149305,187,11360250
28,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,1404,202620774.04
28,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,281,5296720.74
28,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,148985,30419,107509529.49
28,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,2106,793942.62
28,Chrysophyceae,Flagellate,(null),(null),146230,94,73827.37
28,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,3510,2756745.23
28,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,468,93600
28,Dactyliosolen phuketensis,Centric diatom,Dactyliosolen,phuketensis,248064,1591,59979236.28
28,Ditylum brightwellii < 40 µm width,Centric diatom,Ditylum,brightwellii,149023,94,2350000
28,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,94,10528000
28,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,88916,52375803.08
28,Flagellate <10 µm round,Flagellate,(null),(null),146222,187192,12251677.4
28,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,562,4475729.03
28,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,187,36717333.13
28,Guinardia striata,Centric diatom,Guinardia,striata,149113,1404,119091393.72
28,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,109476,281,2206966.98
28,Helicotheca spp.,Centric diatom,Helicotheca,spp.,157438,281,26814648.75
28,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,936,13508051.6
28,Lauderia annulata > 70 µm length,Centric diatom,Lauderia,annulata,149135,4025,1394100197.44
28,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,6084,25892729.53
28,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,1685,1685000000
28,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,94,193875
28,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,562,13241801.85
28,Odontella spp. ~50 µm cell length,Centric diatom,Odontella,spp.,148963,281,14897027.08
28,Paralia sulcata,Centric diatom,Paralia,sulcata,149055,1498,172949241.89
28,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,94,564000
28,Prasinophytes,Flagellate,(null),(null),17329,4680,1225220.1
28,Proboscia alata,Centric diatom,Proboscia,alata,149168,94,6238412.34
28,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,94,11289483.78
28,Prymnesiophytes,Flagellate,(null),(null),115057,8190,4288270.35
28,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,2714,542800
28,Rhabdonema spp.,Pennate diatom,Rhabdonema,spp.,157072,94,15510000
28,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,94,10394892.99
28,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,149116,468,132323770.8
28,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,47,346496433.07
28,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,1123,50803280.21
28,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,1123,35374500
28,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,149102,281,3531147.16
28,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,94,846000
28,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,187,107067.74
28,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,837448,9,1287894.82
28,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,842517,9,365445.46
28,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,2340,705726.78
29,Asterionellopsis spp. ~50 µm length,Pennate diatom,Asterionellopsis,spp.,149138,1410,4031943.11
29,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,188,1181237.84
29,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,149126,113,383399.64
29,Chaetoceros didymus,Centric diatom,Chaetoceros (Hyalochaete),didymus,149122,94,153807.01
29,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,148985,56,197920.17
29,Chaetoceros spp. 10-20 µm,Centric diatom,Chaetoceros,spp.,148985,300,942477
29,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,489,184348.5
29,Chrysophyceae,Flagellate,(null),(null),146230,75,58904.81
29,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,2820,2214820.95
29,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,602,120400
29,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,75,8570825.56
29,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,1109,124208000
29,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,56,451917.72
