TRIP_CODE,SAMPLEDEPTH_M,SAMPLE_DATE_LOCAL,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,PIGMENTS_FLAG,PIGMENTS_COMMENTS
NRSNSI20080929,WC,2008-09-29 11:00:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null)
NRSNSI20080929,57,2008-09-29 11:00:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null)
NRSNSI20100121,WC,2010-01-22 10:00:00,0,0,0.012,0,(null),0,0,0,0,0.012,0.02,0.004,0,0.007,0.002,0.03,0,0,0.006,0,0,0,0,0,0.053,0,0,0,0,0.039,0.039,0,0.194,0.194,0,0,0,0,(null),(null),0.009,0,2,station start time used
NRSNSI20131212,20,2013-12-12 11:45:00,0.135,0,0.158,0,(null),0.127,0,0,0,0.031,0.591,0.017,0,0.013,0.006,0.039,0.003,0,0.051,0,0.004,0,0,0.004,0.008,0.025,0,0,0,0.06,0.06,0.003,0.956,0.959,0,0,0,0,(null),(null),0.015,0,1,(null)
NRSMAI20130313,20,2013-03-14 10:50:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),9,sample lost
NRSKAI20111026,WC,2011-10-26 15:00:00,0.022,0,0.03,0.004,(null),0,0,0.006,0,0.026,0.021,0.005,0,0.012,0.003,0.058,0,0,0.015,0,0,0.002,0,0.003,0.028,0,0,0,0,0.047,0.047,0.017,0.218,0.235,0,0,0,0,(null),(null),0.011,0,2,station start time used
NRSKAI20111026,20,2011-10-26 15:00:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),9,sample not taken (WQM out)-station start time used
NRSPHB20100702,WC,2010-07-02 11:35:00,0.056,0,0.054,0,(null),0,0,0.008,0,0.052,0.074,0.011,0,0.023,0.007,0.103,0,0,0.019,0,0,0.015,0,0,0.006,0,0,0,0,0.09,0.09,0,0.489,0.489,0,0,0,0,(null),(null),0.017,0,1,(null)
NRSKAI20110223,WC,2011-02-23 10:30:00,0.091,0,0.116,0,(null),0.058,0.067,0.02,0,0.034,0.308,0.007,0,0.018,0.004,0.061,0.004,0,0.048,0,0.004,0.009,0,0.011,0.037,0,0,0,0.023,0.069,0.092,0.048,0.819,0.867,0,0,0,0,(null),(null),0.035,0,2,station start time used
NRSNSI20110323,WC,2011-03-23 10:20:00,0.005,0,0.008,0,(null),0.011,0,0,0,0.011,0.006,0,0,0,0,0.016,0,0,0.002,0,0,0,0,0,0.054,0,0,0,0,0.014,0.014,0.036,0.071,0.107,0,0,0,0,(null),(null),0.012,0,2,station start time used
