SAMPLE,SST,CHLA,DEPTHM
40,15.069993559644,0.409724861,88
76,20.519993437827,0.794231653,111.042
82,22.91992218,0.631473303,63.8002
93,29.40999323912,(null),16.6025
126,17.429993506894,1.978702784,111.042
142,29.099993246049,0.95235157,24.149
158,17.199993512034,0.315752745,88
166,27.699993277341,0.473535955,24.149
182,21.294993420504,0.529543579,63.8002
184,21.53499341514,0.731047451,63.8002
201,15.479993550479,0.189587966,108.088
203,30.014993225597,1.972783446,16.6025
207,24.244993354566,2.522149324,16.6025
293,20.82463223,0.797356606,63.8002
297,24.639993345737,0.360895216,63.8002
304,19.619993457943,0.307269484,111.042
404,28.759993253648,0.401522726,24.149
440,22.704993388988,0.18186827,44.6421
493,14.359993575513,(null),88
498,22.424993395247,0.458656222,63.8002
510,25.76999332048,3.501465082,16.6025
534,19.614993458055,0.23844412,44.6421
540,27.554993280582,0.181364879,63.8002
559,22.774993387423,0.159187913,44.6421
666,20.699993433803,0.217739463,111.042
670,19.584993458726,0.162868485,44.6421
704,23.219993377477,0.190119907,111.042
707,21.529993415251,1.378926635,111.042
810,29.9565209,(null),16.6025
221,23.57999947,0.306607723,104.6
246,20.57999954,0.200650766,104.6
711,21.77617861,0.257880658,63.8002
771,21.50610662,0.312470794,63.8002
756,20.30832164,0.164394811,44.6421
780,29.8572017,0.240034431,24.149
469,25.829993319139,0.287800938,24.149
474,27.549993280694,0.328835338,24.149
706,29.57999323532,2.185528517,16.6025
779,19.5599645,0.320110351,44.6421
789,26.6513285,1.570851564,16.6025
845,19.0413149,0.685407817,111.042
860,13.8560752,0.76263088,88
871,23.6242806,0.175006166,63.8002
873,18.21832,0.266187549,44.6421
12,23.459993372113,0.379440218,111.042
99,21.639993412793,0.259085566,24.149
515,20.619993435591,0.524682403,111.042
678,17.5549935041,0.433946818,88
830,29.9565209,(null),16.6025
813,26.4983907,0.15591161,63.8002
209,23.07999948,(null),104.6
518,18.34999348633,1.743965983,111.042
233,22.81999949,0.187527895,104.6
856,23.3885538,0.222245783,24.149
879,16.51001,0.2673365,108.088
880,27.07978,0.2904795,24.149
112,28.909993250296,0.149204865,595.598
141,17.374993508123,(null),49.3207
798,18.8699702,0.218684316,44.6421
662,30.844993207045,2.451804638,16.6025
3,27.249993287399,0.227571011,63.8002
253,24.17999946,(null),104.6
730,18.056124,0.269938469,111.042
68,18.524271,0.478566468,108.088
425,23.799993364513,0.361990392,24.149
377,27.119993290305,0.201092467,63.8002
157,28.139993267506,0.48111257,24.149
465,30.499993214756,2.965517044,16.6025
973,21.17631571,0.994224595,63.8002
885,22.26971256,0.293083086,111.042
986,22.61764999,0.533640988,24.149
977,25.75833299,4.268196901,16.6025
1004,27.78520542,1.429386222,63.8002
993,25.98104764,(null),24.149
1005,29.99101543,(null),16.6025
891,17.89459704,(null),88
1071,16.94629817,(null),111.042
1064,12.65138479,(null),88
1076,21.92332181,(null),44.6421
1085,23.13325047,(null),24.149
1086,22.47684397,(null),24.149
1145,20.88832843,(null),44.6421
1151,26.26820091,(null),63.8002
381,18.369993485883,1.735686779,111.042
441,22.624993390776,0.175447345,44.6421
775,21.3099751,0.322566479,44.6421
744,28.4610603,0.327501535,24.149
148,22.929993383959,0.284991741,24.149
281,12.689993612841,0.484458238,88
388,19.054993470572,0.152173802,44.6421
442,21.142493423913,0.624570787,44.6421
514,22.439993394911,0.259749025,111.042
216,20.19999955,0.614347279,104.6
243,23.88999947,0.246950358,104.6
372,27.819993274659,0.361330301,24.149
654,14.45499357339,0.265223265,108.088
700,24.249993354455,0.394568712,111.042
717,24.839993341267,0.134456202,24.149
790,26.6513285,1.570851564,16.6025
186,19.4119373,1.629148364,111.042
743,27.5545559,0.187837824,24.149
204,24.244993354566,2.522149324,16.6025
7,16.619993524998,0.572120845,88
39,23.029993381724,0.253961653,111.042
50,18.514993482642,(null),49.3207
53,24.729993343726,0.533118904,24.149
69,25.734993321262,0.341044515,63.8002
78,21.844993408211,0.193576276,63.8002
90,20.359993441403,(null),49.3207
115,19.289993465319,0.510205567,44.6421
136,17.419993507117,0.917355478,111.042
154,20.584993436374,0.380378723,44.6421
172,17.369993508235,0.129382923,108.088
199,17.369993508235,0.659462869,111.042
285,27.47499328237,0.1502655,63.8002
360,18.427493484598,0.291411102,44.6421
379,12.354993620329,0.933449268,88
386,29.274993242137,0.153226808,595.598
392,16.284993532486,0.544194818,88
435,16.979993516952,(null),49.3207
446,13.584993592836,0.439445138,88
450,23.944993361272,0.305887967,63.8002
454,15.829993542656,0.331862599,108.088
512,18.034993493371,0.343468279,108.088
520,21.029993426427,0.356752813,44.6421
563,27.329993285611,0.147708997,63.8002
641,20.839993430674,0.517038405,111.042
656,25.369993329421,0.151195183,24.149
659,25.589993324503,2.186071873,16.6025
672,16.86999351941,0.457558542,88
683,19.71499345582,0.183026165,108.088
699,21.30665462,0.257739693,44.6421
708,26.439993305504,0.343554586,24.149
715,21.409993417934,0.644252062,111.042
189,19.1336051,0.255941868,108.088
824,28.9922984,0.347377896,24.149
820,28.6727546,0.25232321,24.149
772,21.318133,0.355198532,111.042
774,19.7652053,0.383129716,111.042
807,18.8590896,0.2832748,111.042
208,24.22999946,(null),104.6
210,22.4299995,(null),104.6
220,24.31999946,0.396386266,104.6
260,22.1999995,0.130746141,104.6
279,23.03999949,0.421628654,104.6
2,18.4806317,0.254508615,108.088
758,23.15499278,0.158011049,44.6421
761,29.3042988,(null),16.6025
762,23.77541,0.45997858,111.042
