SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,COUNTS,SAMPVOL_L
11,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,4,2.8278
11,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,12,2.8278
11,Mecynocera spp. j,COPEPOD,Copepod,Mecynocera,spp.,104184,1,2.8278
11,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,9,2.8278
11,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,128954,18,2.8278
32,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,1,0.904896
295,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,3,1.244232
295,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.622116
293,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,106485,12,1.244232
293,Paracalanus aculeatus m,COPEPOD,Copepod,Paracalanus,aculeatus,104681,7,1.244232
293,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,104174,2,0.622116
294,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,7,1.244232
294,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,354022,6,1.244232
294,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,9,1.244232
294,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,128938,5,1.244232
294,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,1,0.622116
294,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,104173,6,1.244232
294,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,5,1.244232
295,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,65,1.244232
295,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,106485,15,1.244232
295,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,10,1.244232
80,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,104174,3,3.95892
80,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,53,3.95892
80,Salpidae,NON-COPEPOD,Thaliacean,(null),(null),137217,1,1.13112
79,Calanoid j,COPEPOD,Copepod,(null),(null),1100,85,3.95892
177,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,7,1.809792
177,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,128636,1,0.904896
295,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,1,0.622116
295,Fish larvae,NON-COPEPOD,Fish,(null),(null),11676,2,0.622116
295,Gastropod,NON-COPEPOD,Mollusc,(null),(null),101,21,1.244232
295,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,108,1.244232
177,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,17,1.809792
79,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,16,3.95892
79,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,109921,1,2.8278
79,Ostracod,NON-COPEPOD,Ostracod,(null),(null),1078,6,3.95892
47,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,2.8278
47,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,5,2.8278
47,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,1,2.8278
47,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,41,3.95892
47,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,2,3.95892
47,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,5,3.95892
47,Polychaete,NON-COPEPOD,Polychaete,(null),(null),883,13,3.95892
34,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,346042,1,1.13112
34,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,128636,1,1.13112
31,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,3,91.394496
31,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,2,90.4896
31,Calanoid j,COPEPOD,Copepod,(null),(null),1100,56,91.394496
31,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,216,91.394496
31,Subeucalanus subcrassus f,COPEPOD,Copepod,Subeucalanus,subcrassus,104548,1,90.4896
31,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,4,90.4896
47,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,1,1.13112
47,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,1,1.13112
34,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,6,2.26224
11,Megalope,NON-COPEPOD,Decapod,(null),(null),1066,1,2.8278
102,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,4,2.26224
102,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,1,1.13112
102,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1130,1,1.13112
169,Calanoid j,COPEPOD,Copepod,(null),(null),1100,225,3.39336
169,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,3,3.39336
169,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,1,1.13112
169,Mesocalanus tenuicornis f,COPEPOD,Copepod,Mesocalanus,tenuicornis,104468,3,3.39336
169,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,128954,3,3.39336
169,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,6,3.39336
169,Calanid CIV,COPEPOD,Copepod,(null),(null),104079,1,2.26224
169,Oithona Grp2 (diamond) f,COPEPOD,Copepod,Oithona,grp 2,106485,1,2.26224
169,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,104173,4,2.26224
80,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,2.8278
80,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2,2.8278
80,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,354022,3,2.8278
80,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,1,2.8278
32,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,3,0.904896
79,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,2,1.13112
79,Pseudevadne tergestina,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,1,1.13112
33,Acartia (Acanthacartia) sinjiensis f,COPEPOD,Copepod,Acartia (Acanthacartia),sinjiensis,345940,5,0.509004
33,Bestiolina similis f,COPEPOD,Copepod,Bestiolina,similis,346152,1,0.509004
34,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,4,1.13112
34,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,1,1.13112
34,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,9,1.13112
34,Podon spp.,NON-COPEPOD,Cladoceran,Podon,spp.,106269,7,1.13112
33,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,23,0.509004
33,Oithona Grp4 (round head) f,COPEPOD,Copepod,Oithona,grp 4,106485,13,0.509004
33,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,6,0.509004
33,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,3,0.509004
33,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,1,0.509004
33,Anomuran zoea,NON-COPEPOD,Decapod,(null),(null),106671,5,0.509004
33,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,7,0.509004
33,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),23000,1,0.509004
22,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,2,9.04896
67,Calanoid j,COPEPOD,Copepod,(null),(null),1100,116,31.67136
67,Mesocalanus tenuicornis f,COPEPOD,Copepod,Mesocalanus,tenuicornis,104468,1,4.52448
165,Calanoid j,COPEPOD,Copepod,(null),(null),1100,136,63.455832
165,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,106485,20,63.455832
165,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,3,63.455832
165,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,63,63.455832
864,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,1,0.509004
864,Globigerinidae,NON-COPEPOD,Foraminifera,(null),(null),111929,1,0.509004
854,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,0.2149128
854,Canthocalanus pauper f,COPEPOD,Copepod,Canthocalanus,pauper,220834,2,0.2149128
854,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,1,0.2149128
854,Euchaeta spp. j,COPEPOD,Copepod,Euchaeta,spp.,104174,1,0.2149128
67,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1130,9,31.67136
67,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,2,4.52448
67,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,104157,3,27.14688
67,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,7,9.04896
67,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,2,18.09792
35,Gastropod,NON-COPEPOD,Mollusc,(null),(null),101,1,13.57344
12,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,128954,5,114.24312
36,Bestiolina similis m,COPEPOD,Copepod,Bestiolina,similis,346152,2,0.622116
36,Corycaeus spp.,COPEPOD,Copepod,Corycaeus,spp.,128634,10,1.244232
36,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,104174,1,0.622116
36,Subeucalanus crassus f,COPEPOD,Copepod,Subeucalanus,crassus,104544,1,0.622116
49,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),110671,7,2.714688
49,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),110671,7,2.714688
31,Acartia (Odontacartia) pacifica f,COPEPOD,Copepod,Acartia (Odontacartia),pacifica,346059,1,0.904896
32,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1,0.904896
854,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,10,0.2149128
854,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,59,0.2149128
854,Echinopluteus,NON-COPEPOD,Echinoderm,(null),(null),1806,2,0.2149128
854,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,2,0.2149128
854,Gastropod,NON-COPEPOD,Mollusc,(null),(null),101,1,0.2149128
165,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,2,1.244232
165,Hyperiid amphipod,NON-COPEPOD,Amphipod,(null),(null),101796,1,0.622116
35,Calanid CIV,COPEPOD,Copepod,(null),(null),104079,1,13.57344
35,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),1082,1,13.57344
49,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,1,0.904896
49,Clausocalanus parapergens f,COPEPOD,Copepod,Clausocalanus,parapergens,104507,1,0.904896
152,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1,2.26224
152,Corycaeidae j,COPEPOD,Copepod,(null),(null),128569,1,2.26224
152,Anomuran zoea,NON-COPEPOD,Decapod,(null),(null),106671,2,4.52448
152,Sapphirina angusta f,COPEPOD,Copepod,Sapphirina,angusta,129041,1,0.904896
49,Podon spp.,NON-COPEPOD,Cladoceran,Podon,spp.,106269,1,0.904896
152,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,34,5.429376
64,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,9,0.509004
64,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.509004
64,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,38,0.509004
64,Oithona Grp4 (round head) f,COPEPOD,Copepod,Oithona,grp 4,106485,5,0.509004
64,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,6,0.509004
64,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,28,0.509004
64,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,2,0.509004
64,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,1,0.509004
64,Polychaete,NON-COPEPOD,Polychaete,(null),(null),883,1,0.509004
39,Acrocalanus gracilis f,COPEPOD,Copepod,Acrocalanus,gracilis,220838,1,1.13112
39,Onychocorycaeus agilis m,COPEPOD,Copepod,Onychocorycaeus,agilis,359743,1,1.13112
39,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,1,1.13112
39,Oithona spp. large m,COPEPOD,Copepod,Oithona,spp.,106485,5,1.13112
39,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,3,1.13112
39,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,15,1.13112
