NRS_CODE,SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_COUNT
PHB20090422,11,Mecynocera spp. j,COPEPOD,Copepod,Mecynocera,spp.,1
PHB20090422,11,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,2
PHB20090422,11,Nauplii calanoid,COPEPOD,Copepod,(null),(null),51
PHB20090422,11,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,2
MAI20090506,32,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,11
MAI20090506,32,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,3
NSI20090819,295,Calanoid j,COPEPOD,Copepod,(null),(null),89
NSI20090618,293,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,2
NSI20090720,294,Calocalanus pavo f,COPEPOD,Copepod,Calocalanus,pavo,5
NSI20090720,294,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,22
NSI20090720,294,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,7
NSI20090720,294,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),8
NSI20090819,295,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,15
NSI20090819,295,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,3
PHB20090518,80,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,5
PHB20090518,80,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,3
PHB20090518,80,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,20
PHB20090518,80,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,186
PHB20090518,80,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),12
MAI20090506,32,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,3
MAI20090506,32,Pleuromamma quadrungulata f,COPEPOD,Copepod,Pleuromamma,quadrungulata,4
MAI20090601,177,Corycaeus spp.,COPEPOD,Copepod,Corycaeus,spp.,3
MAI20090601,177,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,104
MAI20090601,177,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,1
NSI20090819,295,Bivalve,NON-COPEPOD,Mollusc,(null),(null),1
NSI20090819,295,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,125
NSI20090819,295,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),4
NSI20090819,295,Egg,NON-COPEPOD,Egg,(null),(null),5
NSI20090819,295,Fish larvae,NON-COPEPOD,Fish,(null),(null),2
NSI20090819,295,Gastropod,NON-COPEPOD,Mollusc,(null),(null),21
NSI20090819,295,Polychaete,NON-COPEPOD,Polychaete,(null),(null),4
NSI20090819,295,Pseudevadne tergestina,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,14
MAI20090601,177,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),1
PHB20090714,79,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,3
PHB20090714,79,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,16
PHB20090714,79,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,4
PHB20090714,79,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),8
PHB20090623,47,Candacia bipinnata m,COPEPOD,Copepod,Candacia,bipinnata,1
PHB20090623,47,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,2
PHB20090623,47,Corycaeus spp.,COPEPOD,Copepod,Corycaeus,spp.,5
PHB20090623,47,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,1
PHB20090623,47,Subeucalanus subcrassus f,COPEPOD,Copepod,Subeucalanus,subcrassus,5
PHB20090623,47,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),3
PHB20090623,47,Gastropod,NON-COPEPOD,Mollusc,(null),(null),8
PHB20090819,34,Corycaeus spp.,COPEPOD,Copepod,Corycaeus,spp.,2
MAI20090421,31,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,4
MAI20090421,31,Nauplii calanoid,COPEPOD,Copepod,(null),(null),25
MAI20090421,31,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,1
MAI20090421,31,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,19
MAI20090421,31,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,2
MAI20090421,31,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,4
MAI20090421,31,Egg,NON-COPEPOD,Egg,(null),(null),5
MAI20090421,31,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),2
PHB20090623,47,Oithona spp. large m,COPEPOD,Copepod,Oithona,spp.,1
PHB20090819,34,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,18
PHB20090819,34,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,1
PHB20090819,34,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,3
PHB20090422,11,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,6
PHB20090422,11,Undinula vulgaris m,COPEPOD,Copepod,Undinula,vulgaris,1
PHB20090422,11,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,1
PHB20090422,11,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1
PHB20090422,11,Gastropod,NON-COPEPOD,Mollusc,(null),(null),9
PHB20090318,102,Nauplii calanoid,COPEPOD,Copepod,(null),(null),77
PHB20090318,102,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),4
PHB20090318,102,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,2
PHB20090318,102,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,2
PHB20090318,102,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1
PHB20090318,102,Evadne spinifera,NON-COPEPOD,Cladoceran,Evadne,spinifera,4
PHB20090318,102,Polychaete,NON-COPEPOD,Polychaete,(null),(null),7
PHB20090223,169,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,3
PHB20090223,169,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,36
PHB20090223,169,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),2
PHB20090223,169,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,81
PHB20090223,169,Nannocalanus minor m,COPEPOD,Copepod,Nannocalanus,minor,2
PHB20090223,169,Oithona Grp2 (diamond) f,COPEPOD,Copepod,Oithona,grp 2,1
PHB20090223,169,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,9
PHB20090223,169,Bivalve,NON-COPEPOD,Mollusc,(null),(null),14
MAI20090601,177,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),2
MAI20090601,177,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,1
MAI20090506,32,Calanoid j,COPEPOD,Copepod,(null),(null),109
PHB20090518,80,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,1
PHB20090518,80,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,1
PHB20090518,80,Nannocalanus minor m,COPEPOD,Copepod,Nannocalanus,minor,1
PHB20090518,80,Nauplii copepod,COPEPOD,Copepod,(null),(null),13
PHB20090518,80,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,3
PHB20090518,80,Temora stylifera f,COPEPOD,Copepod,Temora,stylifera,1
PHB20090518,80,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,1
MAI20090506,32,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,2
MAI20090506,32,Egg,NON-COPEPOD,Egg,(null),(null),4
PHB20090714,79,Pseudevadne tergestina,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,1
PHB20090819,34,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,3
PHB20090819,34,Calanoid j,COPEPOD,Copepod,(null),(null),86
ESP20090512,33,Calanoid j,COPEPOD,Copepod,(null),(null),143
ESP20090512,33,Corycaeus spp.,COPEPOD,Copepod,Corycaeus,spp.,12
PHB20090819,34,Lucicutia spp. j,COPEPOD,Copepod,Lucicutia,spp.,2
PHB20090819,34,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,146
PHB20090819,34,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,4
PHB20090819,34,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,2242
ESP20090512,33,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),11
MAI20090716,22,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,1
MAI20090716,22,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,1
MAI20090716,22,Pleuromamma gracilis m,COPEPOD,Copepod,Pleuromamma,gracilis,12
MAI20090716,22,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),3
MAI20090820,67,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),2
ESP20090512,33,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,202
NSI20090916,165,Calocalanus pavo f,COPEPOD,Copepod,Calocalanus,pavo,2
NSI20090916,165,Nauplii calanoid,COPEPOD,Copepod,(null),(null),83
NSI20090916,165,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,10
NSI20090916,165,Subeucalanus crassus f,COPEPOD,Copepod,Subeucalanus,crassus,1
NSI20090916,165,Temora spp. j,COPEPOD,Copepod,Temora,spp.,2
NSI20090916,165,Egg mass,NON-COPEPOD,Egg,(null),(null),1
NSI20090916,165,Fish larvae,NON-COPEPOD,Fish,(null),(null),1
NSI20090916,165,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),76
ROT20181024,864,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,32
ROT20181024,864,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,2
ROT20181024,864,Mysid,NON-COPEPOD,Mysida,(null),(null),1
DAR20180731_0630,854,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,4
MAI20090820,67,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),2
MAI20090820,67,Nannocalanus minor m,COPEPOD,Copepod,Nannocalanus,minor,1
MAI20090820,67,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1
MAI20090820,67,Pleuromamma quadrungulata f,COPEPOD,Copepod,Pleuromamma,quadrungulata,4
MAI20090907,35,Polychaete,NON-COPEPOD,Polychaete,(null),(null),7
MAI20090907,35,Mecynocera clausi m,COPEPOD,Copepod,Mecynocera,clausi,1
MAI20090907,35,Nauplii calanoid,COPEPOD,Copepod,(null),(null),8
MAI20090907,35,Fish j,NON-COPEPOD,Fish,(null),(null),3
MAI20090907,35,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,12
MAI20091013,49,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,2
PHB20100316,12,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,1
PHB20100316,12,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,15
PHB20100316,12,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,4
NSI20091006,36,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,1
NSI20091006,36,Candacia bradyi f,COPEPOD,Copepod,Candacia,bradyi,1
NSI20091006,36,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,4
MAI20091013,49,Bivalve,NON-COPEPOD,Mollusc,(null),(null),7
MAI20091013,49,Euphausiid calyptope,NON-COPEPOD,Euphausiid,(null),(null),7
MAI20090421,31,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,1
MAI20090716,22,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,8
DAR20180731_0630,854,Nauplii copepod,COPEPOD,Copepod,(null),(null),2
DAR20180731_0630,854,Bivalve,NON-COPEPOD,Mollusc,(null),(null),9
DAR20180731_0630,854,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),2
DAR20180731_0630,854,Echinopluteus,NON-COPEPOD,Echinoderm,(null),(null),2
NSI20090916,165,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,2
