SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_PER_M3
707,Urocorycaeus longistylis f,COPEPOD,Copepod,Urocorycaeus,longistylis,3.5363
65,Subeucalanus pileatus m,COPEPOD,Copepod,Subeucalanus,pileatus,0.9823
490,Subeucalanus pileatus m,COPEPOD,Copepod,Subeucalanus,pileatus,13.0975
376,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,6.4297
483,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,6.4297
679,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,3.2148
974,Farranula carinata f,COPEPOD,Copepod,Farranula,carinata,5.1437
166,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,6.8006
55,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,0.3215
42,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,3.9292
27,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,15.717
97,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,1.0104
396,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,1.4288
496,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,10.2875
829,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,3.5363
1065,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,0.2526
454,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,1.0104
24,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,42.4358
731,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,5.4405
522,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,13.6012
523,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,6.8006
558,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,7.8585
652,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,8.1607
620,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,13.6012
632,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,3.2148
727,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,6.4297
746,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,13.6012
811,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,43.6582
1072,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,25.7187
109,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,3.0311
4,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,1.1788
440,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,7.8585
409,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,0.3215
487,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,9.6445
475,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,3.5363
477,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,1.1788
478,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,3.0381
683,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,1.4145
769,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,7.0726
868,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,6.4297
