LATITUDE,LONGITUDE,SAMPLE_TIME_UTC,TAXON,ABUNDANCE_M3
-12,137,1975-08-01T00:00:00Z,Brachycalanus rothlisbergi,0.6
-12,137,1975-08-01T00:00:00Z,Labidocera minuta,1.1
-12,137,1975-08-01T00:00:00Z,Subeucalanus subcrassus,7.5
-12,138,1975-08-01T00:00:00Z,Centropages furcatus,16
-12,138,1975-08-01T00:00:00Z,Candacia catula,0.6
-12,138,1975-08-01T00:00:00Z,Acartia (Odontacartia) amboinensis,0.6
-12,139,1975-08-01T00:00:00Z,Clausocalanus minor,10.3
-12,139,1975-08-01T00:00:00Z,Copilia mirabilis,1.1
-12,139,1975-08-01T00:00:00Z,Brachycalanus rothlisbergi,0.6
-12,139,1975-08-01T00:00:00Z,Oncaea media complex,105.7
-12,139,1975-08-01T00:00:00Z,Oncaea venusta complex,14.3
-12,139,1975-08-01T00:00:00Z,Oncaea clevei complex,16.6
-12,140,1975-08-01T00:00:00Z,Ditrichocorycaeus erythraeus,0.5
-12,140,1975-08-01T00:00:00Z,Paracalanus denudatus,4
-12,141,1975-08-01T00:00:00Z,Microsetella rosea,0.6
-12,141,1975-08-01T00:00:00Z,Oncaea venusta complex,86.3
-12.25,141.5,1975-08-01T00:00:00Z,Temora discaudata,3.4
-12.25,141.5,1975-08-01T00:00:00Z,Candacia discaudata,5.7
-12.25,141.5,1975-08-01T00:00:00Z,Lucicutia tranteri (invalid),11.7
-13.5,136.4,1975-08-01T00:00:00Z,Temora turbinata,72
-13.5,136.4,1975-08-01T00:00:00Z,Ditrichocorycaeus erythraeus,6.3
-13.5,136.4,1975-08-01T00:00:00Z,Canthocalanus pauper,55.4
-13.5,136.4,1975-08-01T00:00:00Z,Acartia (Odontacartia) pacifica,27.4
-13.5,136.4,1975-08-01T00:00:00Z,Corycaeus sewelli (invalid),37.1
-13.5,136.4,1975-08-01T00:00:00Z,Subeucalanus subcrassus,35.4
-14,137,1975-08-01T00:00:00Z,Candacia discaudata,2.3
-14,137,1975-08-01T00:00:00Z,Labidocera minuta,1.7
-14,138,1975-08-01T00:00:00Z,Ditrichocorycaeus dahli,0.8
-14,138,1975-08-01T00:00:00Z,Candacia discaudata,1.5
-14,138,1975-08-01T00:00:00Z,Farranula gibbula,1
-14,138,1975-08-01T00:00:00Z,Labidocera minuta,0.3
-14,138,1975-08-01T00:00:00Z,Onychocorycaeus pacificus,0.3
-14,139,1975-08-01T00:00:00Z,Ditrichocorycaeus asiaticus,0.6
-14,139,1975-08-01T00:00:00Z,Clausocalanus minor,9.7
-14,139,1975-08-01T00:00:00Z,Calocalanus plumulosus,2.9
-14,139,1975-08-01T00:00:00Z,Paracalanus denudatus,21.7
-14,140,1975-08-01T00:00:00Z,Calocalanus pavo,0.3
-14,140,1975-08-01T00:00:00Z,Calocalanus plumulosus,0.3
-14,140,1975-08-01T00:00:00Z,Paracalanus denudatus,3.5
-14,140,1975-08-01T00:00:00Z,Macrosetella gracilis,0.5
-14,140,1975-08-01T00:00:00Z,Subeucalanus crassus,1
-14,141,1975-08-01T00:00:00Z,Parvocalanus latus,22.9
-14,141,1975-08-01T00:00:00Z,Centropages orsinii,1.1
-14,141,1975-08-01T00:00:00Z,Labidocera laevidentata,1.7
-14,141,1975-08-01T00:00:00Z,Lucicutia tranteri (invalid),1.1
-16,141,1975-08-01T00:00:00Z,Temora turbinata,17.1
-16,141,1975-08-01T00:00:00Z,Parvocalanus elegans,31.4
-16,141,1975-08-01T00:00:00Z,Canthocalanus pauper,20.6
-16,141,1975-08-01T00:00:00Z,Macrosetella gracilis,10.9
-17.5,140.5,1975-08-01T00:00:00Z,Parvocalanus crassirostris,8.6
-17.5,140.5,1975-08-01T00:00:00Z,Macrosetella gracilis,2.3
-17.5,140.5,1975-08-01T00:00:00Z,Subeucalanus subcrassus,6.9
-12,137,1975-10-01T00:00:00Z,Acartia (Odontacartia) pacifica,1.7
-12,137,1975-10-01T00:00:00Z,Microsetella rosea,2.3
-12,137,1975-10-01T00:00:00Z,Farranula gibbula,4
-12,138,1975-10-01T00:00:00Z,Oncaea venusta complex,87
-12,138,1975-10-01T00:00:00Z,Centropages orsinii,1
-12,138,1975-10-01T00:00:00Z,Clausocalanus furcatus,8
-12,138,1975-10-01T00:00:00Z,Clytemnestra scutellata,3
-12,139,1975-10-01T00:00:00Z,Acrocalanus longicornis,11.4
-12,139,1975-10-01T00:00:00Z,Corycaeus sewelli (invalid),0.6
-12,140,1975-10-01T00:00:00Z,Candacia discaudata,1
-12,140,1975-10-01T00:00:00Z,Sapphirina nigromaculata,1
-12,140,1975-10-01T00:00:00Z,Euterpina acutifrons,6.5
-12,140,1975-10-01T00:00:00Z,Onychocorycaeus catus,0.5
-12,140,1975-10-01T00:00:00Z,Clausocalanus furcatus,19.5
-12,140,1975-10-01T00:00:00Z,Temora discaudata,1
-12,141,1975-10-01T00:00:00Z,Calocalanus plumulosus,1.7
-12,141,1975-10-01T00:00:00Z,Subeucalanus mucronatus,0.6
-12,141,1975-10-01T00:00:00Z,Corycaeus speciosus,3.4
-12,141,1975-10-01T00:00:00Z,Oncaea clevei complex,5.1
-12,141,1975-10-01T00:00:00Z,Onychocorycaeus agilis,1.7
-12,141,1975-10-01T00:00:00Z,Clytemnestra scutellata,1.1
-12.25,141.5,1975-10-01T00:00:00Z,Parvocalanus elegans,38.9
-12.25,141.5,1975-10-01T00:00:00Z,Paracalanus aculeatus,72.6
-12.25,141.5,1975-10-01T00:00:00Z,Microsetella rosea,28
-12.25,141.5,1975-10-01T00:00:00Z,Dioithona rigida,44.6
-12.25,141.5,1975-10-01T00:00:00Z,Onychocorycaeus catus,1.1
-13,140,1975-10-01T00:00:00Z,Candacia catula,1
-13,140,1975-10-01T00:00:00Z,Candacia discaudata,0.3
-13,140,1975-10-01T00:00:00Z,Calocalanus plumulosus,0.3
-13,140,1975-10-01T00:00:00Z,Sapphirina opalina,0.3
-13,140,1975-10-01T00:00:00Z,Oncaea clevei complex,1.3
-13,140,1975-10-01T00:00:00Z,Macrosetella gracilis,4.5
-13,140,1975-10-01T00:00:00Z,Scolecithricella orientalis,3.5
-13,138,1975-10-01T00:00:00Z,Onychocorycaeus pacificus,1.3
-13,138,1975-10-01T00:00:00Z,Parvocalanus elegans,0.3
-13,138,1975-10-01T00:00:00Z,Oncaea clevei complex,20
-13,138,1975-10-01T00:00:00Z,Oncaea media complex,21.5
-13,138,1975-10-01T00:00:00Z,Copilia mirabilis,2.3
-13,138,1975-10-01T00:00:00Z,Onychocorycaeus agilis,33.8
-13.5,136.4,1975-10-01T00:00:00Z,Ditrichocorycaeus erythraeus,4
-13.5,136.4,1975-10-01T00:00:00Z,Paracalanus aculeatus,81.1
-13.5,136.4,1975-10-01T00:00:00Z,Temora discaudata,2.9
-14,138,1975-10-01T00:00:00Z,Nannocalanus minor,2.5
-14,138,1975-10-01T00:00:00Z,Acrocalanus gracilis,1.5
-14,138,1975-10-01T00:00:00Z,Ditrichocorycaeus subtilis,0.5
-14,138,1975-10-01T00:00:00Z,Oncaea media complex,1
-14,140,1975-10-01T00:00:00Z,Candacia catula,1.5
-14,140,1975-10-01T00:00:00Z,Calocalanus pavo,0.5
-14,141,1975-10-01T00:00:00Z,Acrocalanus gibber,5.7
-14,141,1975-10-01T00:00:00Z,Oithona simplex,36.5
-14,141,1975-10-01T00:00:00Z,Clytemnestra scutellata,2.3
-15,140,1975-10-01T00:00:00Z,Paracalanus denudatus,16
-15,140,1975-10-01T00:00:00Z,Oithona attenuata typical,1
-15,140,1975-10-01T00:00:00Z,Oithona plumifera,46.5
-15,140,1975-10-01T00:00:00Z,Labidocera laevidentata,2.5
-15,140,1975-10-01T00:00:00Z,Onychocorycaeus agilis,2
-15,140,1975-10-01T00:00:00Z,Clytemnestra scutellata,1.5
-15,140,1975-10-01T00:00:00Z,Scolecithricella orientalis,0.5
-15,140,1975-10-01T00:00:00Z,Temora discaudata,3.5
-15,138,1975-10-01T00:00:00Z,Sapphirina angusta,0.5
-15,138,1975-10-01T00:00:00Z,Centropages gracilis,0.5
-15,136,1975-10-01T00:00:00Z,Corycaeus speciosus,5.7
-15,136,1975-10-01T00:00:00Z,Oncaea clevei complex,374.3
-15,136,1975-10-01T00:00:00Z,Oithona plumifera,21.1
-15,136,1975-10-01T00:00:00Z,Euterpina acutifrons,93.1
-16,137.5,1975-10-01T00:00:00Z,Calanopia elliptica,0.6
-16,137.5,1975-10-01T00:00:00Z,Dioithona rigida,20
-16,139,1975-10-01T00:00:00Z,Temora turbinata,19.4
-16,140,1975-10-01T00:00:00Z,Acartia (Odontacartia) amboinensis,6
-16,140,1975-10-01T00:00:00Z,Onychocorycaeus pacificus,7
-16,140,1975-10-01T00:00:00Z,Ditrichocorycaeus dahli,2
-16,140,1975-10-01T00:00:00Z,Oncaea media complex,19
-16,140,1975-10-01T00:00:00Z,Labidocera bengalensis,1
-16,140,1975-10-01T00:00:00Z,Macrosetella gracilis,5
-16,140,1975-10-01T00:00:00Z,Subeucalanus subcrassus,20
-16,140,1975-10-01T00:00:00Z,Clausocalanus minor,7
-16,140,1975-10-01T00:00:00Z,Scolecithricella orientalis,10
-16,141,1975-10-01T00:00:00Z,Paracalanus denudatus,1.1
-16,141,1975-10-01T00:00:00Z,Parvocalanus crassirostris,2.3
-17,140,1975-10-01T00:00:00Z,Ditrichocorycaeus dahli,15.7
-17,140,1975-10-01T00:00:00Z,Onychocorycaeus catus,1.1
-17.5,140.5,1975-10-01T00:00:00Z,Oithona simplex,13.7
-12,137,1975-11-01T00:00:00Z,Sapphirina opalina,2
-12,137,1975-11-01T00:00:00Z,Centropages furcatus,1
-12,137,1975-11-01T00:00:00Z,Subeucalanus crassus,21
-12,138,1975-11-01T00:00:00Z,Calocalanus pavo,0.5
-12,138,1975-11-01T00:00:00Z,Candacia catula,0.5
-12,138,1975-11-01T00:00:00Z,Corycaeus speciosus,4
-12,138,1975-11-01T00:00:00Z,Copilia mirabilis,6.5
-12,139,1975-11-01T00:00:00Z,Sapphirina opalina,0.5
-12,139,1975-11-01T00:00:00Z,Canthocalanus pauper,2.5
-12,139,1975-11-01T00:00:00Z,Nannocalanus minor,1.5
-12,139,1975-11-01T00:00:00Z,Candacia catula,4
-12,139,1975-11-01T00:00:00Z,Labidocera acuta,1
-12,140,1975-11-01T00:00:00Z,Calocalanus plumulosus,3
-12,140,1975-11-01T00:00:00Z,Ditrichocorycaeus andrewsi,1
-12,140,1975-11-01T00:00:00Z,Copilia mirabilis,2.5
-12,140,1975-11-01T00:00:00Z,Oncaea venusta complex,10.5
-12,141,1975-11-01T00:00:00Z,Paracalanus denudatus,4
-12,141,1975-11-01T00:00:00Z,Canthocalanus pauper,2
-12,141,1975-11-01T00:00:00Z,Ditrichocorycaeus erythraeus,0.5
-12,141,1975-11-01T00:00:00Z,Onychocorycaeus agilis,2
-12.25,141.5,1975-11-01T00:00:00Z,Nannocalanus minor,0.5
-12.25,141.5,1975-11-01T00:00:00Z,Calocalanus plumulosus,7.5
-12.25,141.5,1975-11-01T00:00:00Z,Corycaeus speciosus,2
-12.25,141.5,1975-11-01T00:00:00Z,Ditrichocorycaeus andrewsi,1
-12.25,141.5,1975-11-01T00:00:00Z,Acartia (Odontacartia) amboinensis,16
-13,140,1975-11-01T00:00:00Z,Calocalanus plumulosus,0.5
-13,140,1975-11-01T00:00:00Z,Candacia catula,0.5
-13,140,1975-11-01T00:00:00Z,Acartia (Odontacartia) amboinensis,0.8
-13,140,1975-11-01T00:00:00Z,Labidocera minuta,0.5
-13,140,1975-11-01T00:00:00Z,Oncaea clevei complex,2.8
-13,138,1975-11-01T00:00:00Z,Sapphirina opalina,0.8
-13,138,1975-11-01T00:00:00Z,Corycaeus speciosus,3.9
-13,138,1975-11-01T00:00:00Z,Onychocorycaeus catus,0.3
-13,138,1975-11-01T00:00:00Z,Oncaea venusta complex,47.8
-13,138,1975-11-01T00:00:00Z,Paracalanus aculeatus,4
-13.5,136.4,1975-11-01T00:00:00Z,Acrocalanus gibber,4.5
