SPCODE,TAXONNAME,BV_CELL,MONT2001PGN_CELL,PGC_CELL,TROPHY
388485,Pseudopedinella thomsenii,220.89,,,PP
109766,Cochlodinium helicoides,5235.98,169.56,844.64,PP
109627,Dinophysis hastata,7330.38,225.62,1112.63,PZ
110001,Diplopsalis lenticula,26521.83,672.24,3189.66,PZ
155560,Diplopsalopsis bomba,65449.79,1447.4,6684.09,PZ
110325,Dissodinium pseudolunula,5165.88,167.63,835.37,PP
110045,Gonyaulax verior,25132.72,642.22,3052.18,PP
109831,Gymnodinium simplex,342.52,16.74,90.52,PP
109843,Gyrodinium britannicum,30869.26,764.7,3611.9,PZ
233711,Ostreopsis mascarenensis,62831.8,1398.09,6464.32,MP
233024,Karenia mikimotoi,11326.48,326.44,1588.98,MP
233037,Karlodinium veneficum,1767.14,67.42,347,MP
110293,Prorocentrum balticum,544.54,24.82,132.32,MP
110214,Protoperidinium crassipes,133350.68,2648.52,11972.5,PZ
110238,Protoperidinium oblongum,155992.04,3025.7,13613.33,PZ
110248,Protoperidinium punctulatum,78809.73,1694.64,7782.38,PZ
110249,Protoperidinium pyriforme,37699.08,906.12,4254.3,PZ
837453,Tripos horridus,33248.49,814.45,3838.35,MP
495363,Tripos muelleri,64926.19,1437.56,6640.27,MP
113458,Neogloboquadrina pachyderma,,,,PZ
232069,Mesodinium rubrum,3817.03,79.37,507.77,MP
134541,Nephroselmis pyriformis,65.45,,,MP
624976,Haptolina ericina,179.59,,,MP
134545,Cymbomonas tetramitiformis,1186.28,,,MP
160585,Heterosigma akashiwo,4188.79,,,MP
149292,Chaetoceros anastomosans,1138.04,18.92,86.68,PP
149266,Coscinodiscus curvatulus,75304.89,613.94,2597.14,PP
149271,Coscinodiscus granii,1187521.02,6057.8,24317.93,PP
149158,Coscinodiscus radiatus,169645.86,1204.71,5018.25,PP
149023,Ditylum brightwellii,25000,245.84,1061.99,PP
149112,Guinardia delicatula,7963.93,95.13,419.96,PP
149106,Leptocylindrus danicus,4255.87,56.55,252.64,PP
149230,Leptocylindrus mediterraneus,9424.77,109.4,481.42,PP
157062,Licmophora abbreviata,11202.57,126.27,553.85,PP
149444,Navicula rhynchocephala,5717.95,72.26,321.01,PP
149055,Paralia sulcata,115453.43,875.31,3672.86,PP
149066,Rhaphoneis amphiceros,6300,78.31,347.26,PP
231888,Stephanopyxis palmeriana,693427.45,3876.09,15719.7,PP
148922,Thalassiosira eccentrica,25517.56,250.06,1079.79,PP
105571,Diaphanoeca grandis,78.54,,,PZ
