NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE,BIOMASS_MGM3
MAI20090601,177,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00,36.12348
PHB20090920,136,Port Hacking,-34.11923,151.22667,2009-09-21 09:17:00,15.9205
PHB20091110,83,Port Hacking,-34.11923,151.22667,2009-11-11 09:45:00,37.99773
NSI20100214,3,North Stradbroke,-27.345,153.562,2010-02-15 09:30:00,38.37869
YON20100224,139,Yongala,-19.30847,147.61842,2010-02-24 10:58:00,35.6488
NSI20100916,184,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00,13.5023
YON20100729,23,Yongala,-19.30847,147.61842,2010-07-29 11:22:00,8.24234
YON20101208,125,Yongala,-19.30847,147.61842,2010-12-08 10:45:00,9.08561
YON20110118,142,Yongala,-19.30847,147.61842,2011-01-18 11:30:00,28.60337
NSI20110412,98,North Stradbroke,-27.345,153.562,2011-04-13 09:25:00,9.83739
MAI20100722,41,Maria Island,-42.59667,148.23333,2010-07-22 11:10:00,0.49066
MAI20110118,155,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00,10.45424
PHB20110420,4,Port Hacking,-34.11923,151.22667,2011-04-21 09:36:00,0.60824
PHB20110517,76,Port Hacking,-34.11923,151.22667,2011-05-18 09:25:00,0.19449
YON20110323,146,Yongala,-19.30847,147.61842,2011-03-23 10:49:00,19.34093
YON20110616,148,Yongala,-19.30847,147.61842,2011-06-16 11:25:00,16.96072
PHB20110829,198,Port Hacking,-34.11923,151.22667,2011-08-29 10:03:00,3.56814
NSI20110915,200,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00,9.29087
MAI20110531,30,Maria Island,-42.59667,148.23333,2011-05-31 11:38:00,2.0378
NSI20111116,132,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00,17.09006
PHB20111117,19,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,4.8589
DAR20120417,203,Darwin,-12.4,130.76805,2012-04-17 09:42:00,27.03073
MAI20111214,133,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00,6.97538
PHB20111206,8,Port Hacking,-34.11923,151.22667,2011-12-07 09:30:00,32.37033
NSI20120511,297,North Stradbroke,-27.345,153.562,2012-05-11 10:05:00,12.21637
DAR20120114_23:35,160,Darwin,-12.4,130.76805,2012-01-15 09:05:00,26.32359
DAR20120115_05:40,161,Darwin,-12.4,130.76805,2012-01-15 15:10:00,219.85591
YON20120726,310,Yongala,-19.30847,147.61842,2012-07-26 11:00:00,19.04171
MAI20120621,280,Maria Island,-42.59667,148.23333,2012-06-21 11:00:00,1.32611
YON20091215,20,Yongala,-19.30847,147.61842,2009-12-15 11:25:00,20.24188
MAI20121002,365,Maria Island,-42.59667,148.23333,2012-10-02 10:15:00,11.35158
PHB20130826,423,Port Hacking,-34.11923,151.22667,2013-08-27 09:30:00,14.99107
YON20130611,425,Yongala,-19.30847,147.61842,2013-06-11 13:34:00,37.72979
ROT20130321,440,Rottnest Island,-32,115.41667,2013-03-21 11:34:00,12.08634
KAI20130423,401,Kangaroo Island,-35.83217,136.44733,2013-04-23 13:16:00,1.79998
PHB20130227,409,Port Hacking,-34.11923,151.22667,2013-02-28 08:03:00,1.79998
PHB20121218,410,Port Hacking,-34.11923,151.22667,2012-12-19 09:31:00,2.48249
DAR20121209_03:00,371,Darwin,-12.4,130.76805,2012-12-09 12:30:00,12.86546
ESP20120612,363,Esperance,-33.93333,121.85,2012-06-12 09:24:00,9.70522
PHB20101013,186,Port Hacking,-34.11923,151.22667,2010-10-14 10:18:00,(null)
MAI20130528,414,Maria Island,-42.59667,148.23333,2013-05-28 10:56:00,(null)
PHB20131020,475,Port Hacking,-34.11923,151.22667,2013-10-21 09:36:00,4.60782
NSI20140623,487,North Stradbroke,-27.345,153.562,2014-06-23 10:20:00,10.12672
MAI20140703,494,Maria Island,-42.59667,148.23333,2014-07-03 11:30:00,0.70254
NSI20140917,498,North Stradbroke,-27.345,153.562,2014-09-17 10:30:00,20.42062
KAI20140507,512,Kangaroo Island,-35.83217,136.44733,2014-05-07 13:45:00,7.17165
ROT20140624,521,Rottnest Island,-32,115.41667,2014-06-24 13:16:00,16.49495
ROT20140730,528,Rottnest Island,-32,115.41667,2014-07-30 10:03:00,10.31033
ROT20141119,539,Rottnest Island,-32,115.41667,2014-11-19 10:16:00,9.80738
DAR20150316,555,Darwin,-12.4,130.76805,2015-03-17 08:35:00,36.84401
PHB20150225,560,Port Hacking,-34.11923,151.22667,2015-02-26 09:37:00,7.26713
YON20151111,665,Yongala,-19.30847,147.61842,2015-11-11 10:45:00,11.49303
NSI20150304,563,North Stradbroke,-27.345,153.562,2015-03-04 10:30:00,6.30107
ROT20161024,721,Rottnest Island,-32,115.41667,2016-10-24 09:35:00,7.74846
MAI20151216,672,Maria Island,-42.59667,148.23333,2015-12-17 09:35:00,2.82905
NSI20160517,681,North Stradbroke,-27.345,153.562,2016-05-17 10:30:00,9.90169
KAI20160223,683,Kangaroo Island,-35.83217,136.44733,2016-02-24 07:55:00,14.23721
MAI20160303,676,Maria Island,-42.59667,148.23333,2016-03-04 10:15:00,9.8121
DAR20160202_0630,694,Darwin,-12.4,130.76805,2016-02-02 16:00:00,11.1001
ROT20150827,668,Rottnest Island,-32,115.41667,2015-08-27 11:15:00,3.96853
PHB20151115,667,Port Hacking,-34.11923,151.22667,2015-11-16 09:33:00,8.14414
PHB20160502,707,Port Hacking,-34.11923,151.22667,2016-05-03 09:14:00,3.88994
NSI20160822,711,North Stradbroke,-27.345,153.562,2016-08-22 10:50:00,17.55942
MAI20170412,755,Maria Island,-42.59667,148.23333,2017-04-12 10:15:00,10.2506
ROT20170120,757,Rottnest Island,-32,115.41667,2017-01-20 10:20:00,10.83527
ROT20170523,777,Rottnest Island,-32,115.41667,2017-05-23 09:53:00,10.49893
MAI20170223,737,Maria Island,-42.59667,148.23333,2017-02-24 08:50:00,17.28552
ROT20161114,738,Rottnest Island,-32,115.41667,2016-11-14 09:45:00,13.05294
MAI20170323,754,Maria Island,-42.59667,148.23333,2017-03-24 09:30:00,8.88323
YON20170528,782,Yongala,-19.30847,147.61842,2017-05-29 08:11:00,17.97864
MAI20170921,793,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00,14.25371
MAI20171015,794,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00,18.24268
YON20170816,800,Yongala,-19.30847,147.61842,2017-08-16 10:24:00,6.06832
KAI20180307,831,Kangaroo Island,-35.83217,136.44733,2018-03-07 12:20:00,15.54919
MAI20180711,839,Maria Island,-42.59667,148.23333,2018-07-12 08:40:00,6.27107
PHB20180724,847,Port Hacking,-34.11923,151.22667,2018-07-25 09:33:00,6.05417
ROT20180719,848,Rottnest Island,-32,115.41667,2018-07-19 09:35:00,12.57357
DAR20180730_2130,851,Darwin,-12.4,130.76805,2018-07-31 07:03:00,97.76151
DAR20180731_0630,854,Darwin,-12.4,130.76805,2018-07-31 16:00:00,25.93889
DAR20180509,840,Darwin,-12.4,130.76805,2018-05-10 07:02:00,16.84171
PHB20190121,885,Port Hacking,-34.11923,151.22667,2019-01-22 09:43:00,9.94412
MAI20190320,891,Maria Island,-42.59667,148.23333,2019-03-21 09:35:00,15.19202
DAR20190213_2130,892,Darwin,-12.4,130.76805,2019-02-14 07:00:00,14.45175
PHB20190408,903,Port Hacking,-34.11923,151.22667,2019-04-09 08:50:00,11.1005
PHB20180927,875,Port Hacking,-34.11923,151.22667,2018-09-27 10:43:00,12.41601
ROT20180831,873,Rottnest Island,-32,115.41667,2018-08-31 10:07:00,38.38869
KAI20190909,980,Kangaroo Island,-35.83217,136.44733,2019-09-10 07:50:00,1.20234
ROT20190819,985,Rottnest Island,-32,115.41667,2019-08-19 08:31:00,13.23044
DAR20190214_0030,893,Darwin,-12.4,130.76805,2019-02-14 10:00:00,10.15131
YON20200802,1086,Yongala,-19.30847,147.61842,2020-08-03 09:15:00,2.99226
YON20191009,992,Yongala,-19.30847,147.61842,2019-10-09 10:00:00,10.29068
PHB20200831,1071,Port Hacking,-34.11923,151.22667,2020-09-01 09:44:00,7.61015
NSI20191024,987,North Stradbroke,-27.345,153.562,2019-10-24 10:20:00,11.15547
DAR20200204_0630,1009,Darwin,-12.4,130.76805,2020-02-04 16:01:00,77.48696
ROT20200128,1016,Rottnest Island,-32,115.41667,2020-01-28 09:39:00,9.95669
ROT20191104,997,Rottnest Island,-32,115.41667,2019-11-04 09:25:00,(null)
YON20200212,1021,Yongala,-19.30847,147.61842,2020-02-13 09:47:00,33.71743
MAI20200106,1023,Maria Island,-42.59667,148.23333,2020-01-07 09:45:00,64.62503
NSI20200817,1074,North Stradbroke,-27.345,153.562,2020-08-18 09:50:00,12.16493
NSI20201221,1151,North Stradbroke,-27.345,153.562,2020-12-21 10:30:00,(null)
MAI20201118,1139,Maria Island,-42.59667,148.23333,2020-11-19 09:45:00,(null)
ROT20201106,1144,Rottnest Island,-32,115.41667,2020-11-06 10:06:00,(null)
NSI20081119,286,North Stradbroke,-27.345,153.562,2008-11-19 10:30:00,7.27838
NSI20081217,287,North Stradbroke,-27.345,153.562,2008-12-17 11:00:00,32.91347
ESP20090512,33,Esperance,-33.93333,121.85,2009-05-12 12:10:00,23.95266
NSI20090916,165,North Stradbroke,-27.345,153.562,2009-09-17 08:30:00,15.22545
MAI20090820,67,Maria Island,-42.59667,148.23333,2009-08-20 11:30:00,1.94055
NSI20091015,82,North Stradbroke,-27.345,153.562,2009-10-15 10:10:00,29.14568
ROT20091222,104,Rottnest Island,-32,115.41667,2009-12-22 10:00:00,9.13155
YON20091123,170,Yongala,-19.30847,147.61842,2009-11-23 11:45:00,24.45499
YON20100119,16,Yongala,-19.30847,147.61842,2010-01-19 10:45:00,43.76873
PHB20100119,39,Port Hacking,-34.11923,151.22667,2010-01-20 09:20:00,63.7881
KAI20100112,123,Kangaroo Island,-35.83217,136.44733,2010-01-13 07:00:00,12.34528
KAI20091215,174,Kangaroo Island,-35.83217,136.44733,2009-12-16 07:15:00,0.76738
KAI20091115,175,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00,3.18268
NSI20110119,167,North Stradbroke,-27.345,153.562,2011-01-19 10:00:00,13.66304
PHB20100908,126,Port Hacking,-34.11923,151.22667,2010-09-09 09:30:00,67.34917
YON20100909,9,Yongala,-19.30847,147.61842,2010-09-09 11:00:00,9.42564
YON20100817,89,Yongala,-19.30847,147.61842,2010-08-17 10:15:00,7.41266
MAI20101001,185,Maria Island,-42.59667,148.23333,2010-10-01 12:40:00,2.71854
NIN20101108,6,Ningaloo,-21.99,113.779,2010-11-08 15:00:00,33.15651
YON20110527,45,Yongala,-19.30847,147.61842,2011-05-27 10:50:00,14.4581
YON20110720,100,Yongala,-19.30847,147.61842,2011-07-20 11:37:00,8.37953
PHB20110717,196,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,0.41374
NSI20111013,78,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00,10.08815
PHB20110914,199,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,1.45696
ESP20110512,27,Esperance,-33.93333,121.85,2011-05-12 10:10:00,14.11383
ROT20110725,149,Rottnest Island,-32,115.41667,2011-07-25 10:20:00,14.71108
ROT20111020,144,Rottnest Island,-32,115.41667,2011-10-20 12:00:00,5.27304
ROT20111221,114,Rottnest Island,-32,115.41667,2011-12-21 15:45:00,14.66393
YON20111213,18,Yongala,-19.30847,147.61842,2011-12-13 12:55:00,12.17309
YON20120208,14,Yongala,-19.30847,147.61842,2012-02-08 10:49:00,39.13071
PHB20120311,62,Port Hacking,-34.11923,151.22667,2012-03-12 09:00:00,4.44161
YON20120615,309,Yongala,-19.30847,147.61842,2012-06-15 10:41:00,25.84232
YON20120816,311,Yongala,-19.30847,147.61842,2012-08-16 00:00:00,4.13477
MAI20120820,283,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,1.94939
DAR20130617_15:00,429,Darwin,-12.4,130.76805,2013-06-18 00:30:00,23.69333
DAR20130617_18:30,430,Darwin,-12.4,130.76805,2013-06-18 04:00:00,19.49395
MAI20130214,399,Maria Island,-42.59667,148.23333,2013-02-14 11:00:00,9.89238
NSI20130806,415,North Stradbroke,-27.345,153.562,2013-08-06 10:15:00,13.50873
YON20130719,426,Yongala,-19.30847,147.61842,2013-07-19 11:08:00,11.32981
NIN20130806,437,Ningaloo,-21.99,113.779,2013-08-06 14:03:00,26.50823
ROT20130517,442,Rottnest Island,-32,115.41667,2013-05-17 10:00:00,14.39674
ROT20130712,443,Rottnest Island,-32,115.41667,2013-07-12 12:35:00,12.44783
MAI20130821,448,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00,0.67632
MAI20130129,392,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00,18.95908
NIN20120509,366,Ningaloo,-21.99,113.779,2012-05-09 10:50:00,25.84341
NSI20131016,451,North Stradbroke,-27.345,153.562,2013-10-16 10:40:00,17.93877
ESP20130314,434,Esperance,-33.93333,121.85,2013-03-14 09:24:00,14.29458
NSI20140507,484,North Stradbroke,-27.345,153.562,2014-05-07 10:25:00,9.94026
ROT20131001,459,Rottnest Island,-32,115.41667,2013-10-01 11:55:00,96.76937
ROT20131017,460,Rottnest Island,-32,115.41667,2013-10-17 08:00:00,9.29658
PHB20140211,481,Port Hacking,-34.11923,151.22667,2014-02-12 09:57:00,4.54063
PHB20140317,488,Port Hacking,-34.11923,151.22667,2014-03-18 09:48:00,4.66508
DAR20140403,490,Darwin,-12.4,130.76805,2014-04-04 08:03:00,69.4428
YON20140501,522,Yongala,-19.30847,147.61842,2014-05-01 11:25:00,18.40245
YON20140624,524,Yongala,-19.30847,147.61842,2014-06-24 10:53:00,1.27851
YON20140122,472,Yongala,-19.30847,147.61842,2014-01-22 10:00:00,9.35764
YON20140317,474,Yongala,-19.30847,147.61842,2014-03-17 14:07:00,25.80152
YON20131205,471,Yongala,-19.30847,147.61842,2013-12-05 11:26:00,191.84525
DAR20150202_21:30,550,Darwin,-12.4,130.76805,2015-02-03 07:00:00,29.88895
MAI20140821,529,Maria Island,-42.59667,148.23333,2014-08-21 11:50:00,1.15048
NSI20141223,538,North Stradbroke,-27.345,153.562,2014-12-23 10:35:00,10.52536
MAI20141208,543,Maria Island,-42.59667,148.23333,2014-12-09 10:05:00,4.19053
PHB20141208,545,Port Hacking,-34.11923,151.22667,2014-12-09 09:51:00,2.95599
YON20150804,646,Yongala,-19.30847,147.61842,2015-08-04 11:45:00,3.85851
PHB20150819,650,Port Hacking,-34.11923,151.22667,2015-08-19 10:03:00,4.91194
NSI20150512,617,North Stradbroke,-27.345,153.562,2015-05-12 10:15:00,9.68951
YON20150119,622,Yongala,-19.30847,147.61842,2015-01-19 11:25:00,18.76968
MAI20151118,642,Maria Island,-42.59667,148.23333,2015-11-19 10:45:00,24.51847
