TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Urocorycaeus longistylis,Urocorycaeus,longistylis,765217,2.535,Boltovskoy 1999,Carnivore
Pontellina morii,Pontellina,morii,220928,1.47,Razouls 2012,Carnivore
Clausocalanus paululus,Clausocalanus,paululus,104508,0.73,Frost & Fleminger 1968,Herbivore
Calocalanus styliremis,Calocalanus,styliremis,104673,0.655,Boltovskoy 1999,Herbivore
Doliolum denticulatum,Doliolum,denticulatum,137246,,,
Doliolum spp.,Doliolum,spp.,137222,,,
Labidocera spp.,Labidocera,spp.,104208,2.375,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Lucicutia spp.,Lucicutia,spp.,104183,1.45,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Sapphirina nigromaculata,Sapphirina,nigromaculata,129053,2.495,Razouls 2012,Omnivore
Mesocalanus spp.,Mesocalanus,spp.,104153,2.05,Boltovskoy 1999,Herbivore
Paraeuchaeta spp.,Paraeuchaeta,spp.,196874,8.495,,Carnivore
Clytemnestra scutellata,Clytemnestra,scutellata,115805,1.175,Boltovskoy 1999,Omnivore
Calanoid j,,,1100,1,,Herbivore
Cosmocalanus darwinii,Cosmocalanus,darwinii,361259,1.84,Boltovskoy 1999,Herbivore
Harpacticoid j,,,1102,0.5,,
Pontellopsis tasmanensis,Pontellopsis,tasmanensis,354898,1.56,Razouls 2013,Carnivore
Temora spp.,Temora,spp.,104241,1.49,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Acartia (Odontacartia) pacifica,Acartia (Odontacartia),pacifica,346059,1.275,Razouls 2012,Omnivore
Acrocalanus gibber,Acrocalanus,gibber,104645,1.17,Boltovskoy 1999,Herbivore
Calanid CV,,,104079,2.6,,Herbivore
Calanopia minor,Calanopia,minor,220919,1.2,Boltovskoy 1999,Carnivore
Calanid CII,,,104079,2.2,,Herbivore
Calanopia spp.,Calanopia,spp.,104207,1.2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Macrosetella gracilis,Macrosetella,gracilis,116382,1.145,Boltovskoy 1999,Herbivore
Nauplii harpacticoid,,,1102,0.2,,Herbivore
Pontellina morii,Pontellina,morii,220928,1.63,Razouls 2012,Carnivore
Temora spp.,Temora,spp.,104241,0.93,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Temoropia mayumbaensis,Temoropia,mayumbaensis,104881,0.975,Boltovskoy 1999,Omnivore
Brachyuran zoea,,,106673,,,
Chaetognatha,,,2081,,,
Cubozoan larvae,,,135219,,,
Lucifer spp.,Lucifer,spp.,106827,,,
Heterorhabdus spp.,Heterorhabdus,spp.,104178,1.62,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Parvocalanus crassirostris,Parvocalanus,crassirostris,360051,0.37,Boltovskoy 1999,Herbivore
Polychaete larvae,,,883,,,
Rhincalanus nasutus,Rhincalanus,nasutus,104543,4.6,Boltovskoy 1999,Herbivore
Sapphirina nigromaculata,Sapphirina,nigromaculata,129053,2.375,Boltovskoy 1999,Omnivore
Rhincalanus cornutus,Rhincalanus,cornutus,104542,3.04,Razouls 2012,Herbivore
Oncaea venusta venella hump,Oncaea,venusta venella hump,363588,0.85,Bottger-Schnack & Huys 2004,Omnivore
Ditrichocorycaeus andrewsi,Ditrichocorycaeus,andrewsi,128804,0.845,Razouls 2012,Carnivore
Subeucalanus monachus,Subeucalanus,monachus,104545,2.24,Boltovskoy 1999,Herbivore
Oncaea waldemari,Oncaea,waldemari,360846,0.46,Bottger-Schnack 2001,Omnivore
Ditrichocorycaeus anglicus,Ditrichocorycaeus,anglicus,128805,0.855,Razouls 2012,Carnivore
Centropages orsinii,Centropages,orsinii,220901,1.55,Boltovskoy 1999,Omnivore
Calocalanus cf. styliremis,Calocalanus,cf. styliremis,104193,0.655,Boltovskoy 1999,Herbivore
Tortanus (Tortanus) gracilis,Tortanus (Tortanus),gracilis,720560,1.575,Razouls 2013,Carnivore
Clausocalanus arcuicornis,Clausocalanus,arcuicornis,104502,1.385,Frost & Fleminger 1968,Herbivore
Clausocalanus furcatus,Clausocalanus,furcatus,104503,1.125,Frost & Fleminger 1968,Herbivore
Facetotecta cyprid,,,150305,,,
Subeucalanus crassus,Subeucalanus,crassus,104544,3,Boltovskoy 1999,Herbivore
Subeucalanus monachus,Subeucalanus,monachus,104545,2.2,Boltovskoy 1999,Herbivore
Farranula curta,Farranula,curta,128812,0.72,Boltovskoy 1999,Carnivore
Candacia spp.,Candacia,spp.,104157,1.79,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Corycaeus clausi,Corycaeus,clausi,128798,1.43,Razouls 2012,Carnivore
Agetus limbatus,Agetus,limbatus,128796,1.375,Razouls 2012,Carnivore
Lucifer spp.,Lucifer,spp.,106827,,Unknown,
Facetotecta nauplii,,,150305,,,
Farranula concinna,Farranula,concinna,346476,0.915,Razouls 2012,Carnivore
Pleuromamma abdominalis,Pleuromamma,abdominalis,104637,3.05,Boltovskoy 1999,Omnivore
Urocorycaeus lautus,Urocorycaeus,lautus,128822,2.67,Razouls 2012,Carnivore
Clausocalanus laticeps,Clausocalanus,laticeps,342444,1.46,Frost & Fleminger 1968,Herbivore
Euchirella rostromagna,Euchirella,rostromagna,342468,6.05,Razouls 2012,Herbivore
Pleuromamma abdominalis,Pleuromamma,abdominalis,104637,2.4,Boltovskoy 1999,Omnivore
Candacia simplex,Candacia,simplex,220914,1.97,Razouls 2012,Carnivore
Serratosagitta tasmanica,Serratosagitta,tasmanica,105465,,,
Liriope tetraphylla,Liriope,tetraphylla,117568,,,
Clytemnestra spp.,Clytemnestra,spp.,115273,1.085,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Labidocera kroyeri,Labidocera,kroyeri,104731,2.325,Razouls 2012,Carnivore
Pterotracheoidea,,,387338,,,
Oncaea venusta medium,Oncaea,venusta medium,128954,1.025,Bottger-Schnack & Huys 2004,Omnivore
Oithona grp 6,Oithona,grp 6,106485,0.6,Size compiled from species in group from Nishida 1985,Herbivore
Ophiurida larvae,,,123117,,,
Rhincalanus rostrifrons,Rhincalanus,rostrifrons,356829,2.635,Bradford-Grieve 1994,Herbivore
Acartia (Acanthacartia) tonsa,Acartia (Acanthacartia),tonsa,345943,1.05,Boltovskoy 1999,Omnivore
