NRSCODE,SOI
"YON20210310",0.15
"YON20210209",11.61
"YON20210127",16.53
"YON20201209",17.52
"YON20201120",9.14
"YON20201026",4.18
"YON20200926",9.96
"YON20200904",9.96
"YON20200802",9.39
"YON20200710",4.02
"YON20200611",-9.91
"YON20200422",-0.76
"YON20200306",-5.37
"YON20200212",-1.99
"YON20200116",1.21
"YON20191202",-5.46
"YON20191107",-9.93
"YON20191009",-5.51
"YON20190917",-12.46
"YON20190826",-3.96
"YON20190808",-3.96
"YON20190703",-6.15
"YON20190528",-9
"YON20190528",-8.76
"YON20190507",-9
"YON20190507",-8.76
"YON20190313",-6.8
"YON20190213",-13.5
"YON20190124",-0.6
"YON20181213",9.3
"YON20181123",-0.1
"YON20181011",3
"YON20180927",-10
"YON20180817",-6.9
"YON20180720",1.6
"YON20180621",-5.5
"YON20180602",-5.5
"YON20180425",4.5
"YON20180329",10.5
"YON20180220",-6
"YON20180130",8.9
"YON20171215",-1.4
"YON20171130",11.8
"YON20171025",9.1
"YON20170906",6.9
"YON20170816",3.3
"YON20170724",8.1
"YON20170705",8.1
"YON20170528",0.5
"YON20170426",-6.3
"YON20170322",5.1
"YON20170220",-2.2
"YON20170120",1.3
"YON20161207",2.6
"YON20161108",-0.7
"YON20161012",-4.3
"YON20160927",13.5
"YON20160823",5.3
"YON20160725",4.2
"YON20160624",5.8
"YON20160601",5.8
"YON20160503",2.8
"YON20160321",-4.7
"YON20160215",-19.7
"YON20160122",-19.7
"YON20151203",-9.1
"YON20151111",-5.3
"YON20151027",-20.2
"YON20150923",-17.8
"YON20150825",-19.8
"YON20150804",-19.8
"YON20150618",-12
"YON20150601",-12
"YON20150430",-3.8
"YON20150324",-11.2
"YON20150224",0.6
"YON20150119",-7.8
"YON20141209",-5.5
"YON20141120",-10
"YON20141014",-8
"YON20140910",-7.6
"YON20140820",-11.4
"YON20140717",-3
"YON20140624",-1.5
"YON20140527",4.4
"YON20140501",4.4
"YON20140317",-13.3
"YON20140220",-1.3
"YON20140122",12.2
"YON20131205",0.6
"YON20131114",9.2
"YON20131015",-1.9
"YON20130912",3.9
"YON20130808",-0.5
"YON20130719",8.1
"YON20130611",13.9
"YON20130515",8.4
"YON20130416",0.3
"YON20130220",-3.6
"YON20130131",-1.1
"YON20121219",-6
"YON20121129",3.9
"YON20121026",2.4
"YON20120918",2.6
"YON20120816",-5
"YON20120726",-1.7
"YON20120615",-10.4
"YON20120604",-10.4
"YON20120424",-7.1
"YON20120402",-7.1
"YON20120208",2.5
"YON20120112",9.4
"YON20111213",23
"YON20111027",7.3
"YON20110908",11.7
"YON20110811",2.1
"YON20110720",10.7
"YON20110616",0.2
"YON20110527",2.1
"YON20110414",25.1
"YON20110323",21.4
"YON20110217",22.3
"YON20110118",19.9
"YON20101208",27.1
"YON20101101",16.4
"YON20100909",24.9
"YON20100817",18.8
"YON20100729",20.5
"YON20100521",10
"YON20100413",15.2
"YON20100224",-14.5
"YON20100119",-10.1
"YON20091215",-7
"YON20091123",-6
"YON20090909",3.9
"SOTS20120722",-1.7
"SOTS20120718",-1.7
"SOTS20120717",-1.7
"SOTS20120714",-1.7
"SBG20200731",4.02
"SBG20200708",4.02
"SBG20200220",-1.99
"SBG20200219",-1.99
"SBG20190808",-3.96
"SBG20190411",-1.3
"SBG20190327",-6.8
"ROT20201127",9.14
"ROT20201106",9.14
"ROT20201013",4.18
"ROT20200825",9.39
"ROT20200814",9.39
"ROT20200730",4.02
"ROT20200710",4.02
"ROT20200605",-9.91
"ROT20200520",2.56
"ROT20200304",-5.37
"ROT20200128",1.21
"ROT20191218",-5.46
"ROT20191126",-9.93
"ROT20191104",-9.93
"ROT20191011",-5.51
"ROT20190819",-3.96
"ROT20190711",-6.15
"ROT20190621",-10.33
"ROT20190527",-9
"ROT20190527",-8.76
"ROT20190507",-9
"ROT20190507",-8.76
"ROT20190306",-6.8
"ROT20190221",-13.5
"ROT20190125",-0.6
"ROT20181211",9.3
"ROT20181130",-0.1
"ROT20181024",3
"ROT20180921",-10
"ROT20180831",-6.9
"ROT20180727",1.6
"ROT20180719",1.6
"ROT20180620",-5.5
"ROT20180511",2.1
"ROT20180328",10.5
"ROT20180221",-6
"ROT20180125",8.9
"ROT20171214",-1.4
"ROT20171123",11.8
"ROT20171103",11.8
"ROT20170914",6.9
"ROT20170802",3.3
"ROT20170626",-10.4
"ROT20170523",0.5
"ROT20170428",-6.3
"ROT20170407",-6.3
"ROT20170331",5.1
"ROT20170303",5.1
"ROT20170120",1.3
"ROT20161214",2.6
"ROT20161114",-0.7
"ROT20161024",-4.3
"ROT20161004",-4.3
"ROT20160722",4.2
"ROT20160621",5.8
"ROT20160527",2.8
"ROT20160502",2.8
"ROT20160413",-22
"ROT20160324",-4.7
"ROT20160223",-19.7
"ROT20151215",-9.1
"ROT20151022",-20.2
"ROT20150924",-17.8
"ROT20150827",-19.8
"ROT20150724",-14.7
"ROT20150701",-14.7
"ROT20150507",-13.7
"ROT20150319",-11.2
"ROT20150224",0.6
"ROT20150128",-7.8
